   42.2333 1    42.3953 0      32794 1
   43.2369 1    42.7687 1    44354.6 1
   42.5678 1    42.0295 1     6561.4 1
   43.0483 1    42.6047 1    39735.6 1
   42.5706 1    42.5247 0    23745.8 1
   42.7137 0    42.6167 0    43471.9 1
    42.659 1    42.4221 0    32797.3 1
   43.6889 1    43.1604 1      16328 1
   42.2128 1     42.605 0    35085.4 1
   42.6821 0    42.4211 0    29930.4 1
   42.9292 1    42.3733 1    10886.8 1
    43.185 1     42.671 1    25163.2 1
   42.3445 1    42.4227 0    27593.9 1
   42.2237 0    42.2319 0    27128.1 1
   42.5014 1    42.0978 0    12525.7 1
    42.639 1    42.0917 1    4311.09 1
   42.5435 1    42.0587 1    9561.92 1
   42.7427 1    42.2093 1    12.7449 1
   42.6559 1    42.3764 1    13999.8 1
   42.8499 1    42.3848 1    20995.6 1
   42.2276 1    41.7506 1    12508.8 1
   43.2618 1    42.7295 1    37934.1 1
   43.3149 1    42.7668 1    42143.9 1
   42.5172 0      42.27 0    10881.2 1
   42.8412 1    42.4756 1    16565.5 1
   42.9198 1    42.4368 1        484 1
   42.5486 1    42.2276 0    6177.67 1
   41.8779 1    41.3993 1    3304.38 1
   42.9259 1    42.4684 1    32009.8 1
   42.8858 1    42.3549 1    1555.36 1
   43.2586 1    42.7761 1    5452.24 1
   43.4377 1    42.9614 1      45892 1
   43.6941 1    43.2212 1    45583.4 1
   43.2702 1    42.7572 1    12495.9 1
   43.5098 0    43.1916 0      21703 1
   43.3751 1    42.8958 1    12129.6 1
   42.9511 1    42.5018 1    15504.5 1
    42.019 1    41.5929 1     2880.1 1
   41.5005 1    41.6828 0    4990.86 1
   42.8798 1    42.5263 0    9548.06 1
   43.2752 1    42.7808 1    10856.2 1
   43.2877 1    42.8271 1    11931.5 1
   43.3973 1    42.8728 1    22736.8 1
   43.1023 1    42.6345 1    13353.4 1
   43.4877 1    42.9756 1    13195.3 1
   43.2004 1    42.6943 1    34597.2 1
   42.2171 0    42.0068 0    14738.9 1
   42.8695 1      42.32 1    4987.14 1
   42.7813 1    42.2991 1    9024.14 1
   42.9785 1    42.4226 1    7580.47 1
   43.0667 1    42.6173 1    2668.71 1
   42.9115 1    42.3501 1    5404.96 1
   42.3131 1    41.8278 1     650.25 1
   42.6832 1    42.1641 1    5379.15 1
   42.8826 1    42.4047 1    2403.58 1
   42.5685 1    42.3086 0    3673.06 1
   43.1502 1    42.7446 0    26520.5 1
   43.1318 1    42.6039 1    16282.3 1
   43.4438 1    42.8911 1    44872.4 1
   43.1507 1    42.6334 1    26074.6 1
   42.7143 1    42.3061 1      19789 1
   42.9638 1    42.4097 1    14967.4 1
   42.6479 1    42.1609 1    57.9121 1
   43.5156 1    43.0525 1    5569.04 1
   42.0452 1    41.7783 0    3075.43 1
   42.9066 1    42.4398 1    7293.53 1
   42.8498 1    42.3435 1     6683.3 1
   43.2185 1    42.7349 1    13195.3 1
   43.3322 1    42.8523 1    9789.42 1
    41.993 0    41.5962 0    6722.26 1
   42.5438 1    42.1027 1       5281 1
   42.8637 1    42.3077 1    5147.16 1
   41.3909 1    40.8348 1    1338.22 1
   42.7072 1    42.2192 1    17139.6 1
   43.3058 1    42.6886 1    10737.2 1
   42.9687 1    42.4136 1      11883 1
   43.4721 1    42.9836 1    22909.7 1
   42.7061 1    42.1312 1    4627.59 1
   43.0774 1    42.5699 1    12779.1 1
    42.812 1    42.3292 1    8619.42 1
   42.9759 1    42.5455 1    25460.7 1
     43.59 1    43.0713 1    21756.1 1
   42.2502 1     41.717 1    3410.75 1
   42.3962 1    41.8801 1    2293.79 1
   42.7407 1    42.2432 1    11163.7 1
   42.5928 1    42.0406 1    3422.25 1
   42.1549 1    42.3114 0    20680.1 1
   43.1512 1    42.7253 1    36293.1 1
   42.4731 0    42.4072 0    24593.3 1
   41.4804 1    41.0471 1     376.36 1
   42.7666 1    42.2675 1    3924.98 1
   42.4349 1     42.072 0    3462.01 1
   43.6653 1    43.1546 1        324 1
   42.5471 1    42.0067 1    1267.36 1
   42.5778 1    42.0769 1     566.44 1
   42.8178 1    42.2931 1     998.56 1
   42.9632 1    42.4555 1    3955.76 1
   43.6482 1    43.1258 1     665.64 1
   42.5494 1     42.072 1    1056.25 1
   42.8987 1    42.3453 1    2124.36 1
   43.0791 1    42.5566 1    2925.72 1
   43.0101 1    42.5827 1    5784.37 1
   41.9995 1    41.4769 1     190.44 1
   42.7469 1    42.2043 1     992.25 1
   42.5047 1    41.9838 1     282.24 1
   43.0025 1    42.4765 1     2601.1 1
   43.4379 1    42.9755 1    2005.71 1
   42.1863 1    41.7465 1        196 1
   43.3031 1    42.8071 1     342.25 1
   43.1767 1    42.6696 1    7218.38 1
    43.002 1     42.507 1    8977.12 1
   42.7565 1     42.212 0    10026.8 1
   41.1075 1    40.6529 1     272.25 1
    42.837 1    42.3462 1     954.81 1
   42.2674 1    41.7454 1     470.89 1
   43.3636 1    42.8303 1     5368.2 1
   43.5806 1    43.0696 1    11841.4 1
   42.7986 1    42.3013 1     615.04 1
   43.3556 1    42.8646 1    1892.25 1
   43.6391 1    43.0958 1    12097.3 1
   43.1639 1    42.6116 1     243.36 1
   44.0053 1    43.4587 1    11409.1 1
   42.8666 1    42.3645 1     171.61 1
   43.1346 1    42.6123 1    13401.8 1
   42.9977 1    42.4665 1    1149.21 1
    43.394 1    42.8844 1     992.25 1
   43.1762 1    42.6287 1     349.69 1
   43.3724 1    42.7969 1    5531.06 1
   42.6281 1    42.1123 1    3465.61 1
   43.4188 1    43.3459 1    44821.8 1
   42.7194 0    42.6924 0    48191.7 1
   43.0073 1    42.4879 1    5080.59 1
   43.0107 1    42.5065 1    8025.12 1
   43.3319 1     42.832 1    11905.3 1
   43.0368 1    42.5996 1    16290.3 1
   43.3017 1    42.8341 1    15304.8 1
   43.3076 1    42.8411 1    5435.38 1
   42.6291 1    42.1651 1    5732.97 1
   43.4637 1    42.8799 1    33343.4 1
