    43.403 1    42.2854 0      32794 1
    44.049 1    42.1784 1    44354.6 1
   43.4405 1    41.6225 1     6561.4 1
   44.0696 1    42.4284 0    39735.6 1
   43.3386 1    41.9504 0    23745.8 1
   43.2894 1    42.3583 0    43471.9 1
   43.6406 1    42.3861 0    32797.3 1
   44.2879 1     42.588 1      16328 1
   43.2958 1    42.5378 0    35085.4 1
   43.0581 0     42.345 0    29930.4 1
   43.8281 1    41.7781 1    10886.8 1
     43.83 1    42.0354 1    25163.2 1
   42.9548 1    42.2757 0    27593.9 1
   43.3894 1    42.1906 0    27128.1 1
   43.1061 1    41.9019 0    12525.7 1
   43.5336 1     41.936 0    4311.09 1
   43.2537 1    41.7206 0    9561.92 1
   43.4192 1    41.6449 1    12.7449 1
   42.5743 1    41.9137 0    13999.8 1
   43.0406 1    42.0921 0    20995.6 1
   42.6624 1    41.7475 0    12508.8 1
   43.8281 1    42.1097 0    37934.1 1
    44.391 1    42.2348 1    42143.9 1
   42.5198 1    41.8986 0    10881.2 1
   43.7417 1    41.9249 0    16565.5 1
   43.2777 1    41.8653 1        484 1
   43.3452 1    42.0448 0    6177.67 1
   43.4689 1    41.3017 0    3304.38 1
   43.0887 0     42.319 0    32009.8 1
    43.349 1    41.7918 0    1555.36 1
   43.0645 1    42.1157 1    5452.24 1
   43.9863 1    42.3741 1      45892 1
   44.2371 1    42.6128 1    45583.4 1
   43.9617 1    42.0055 1    12495.9 1
   43.2647 1    42.5917 0      21703 1
   43.6281 1    42.3233 1    12129.6 1
   43.3563 1    42.0799 0    15504.5 1
   42.9863 1    41.0602 1     2880.1 1
   42.7969 1    41.5785 0    4990.86 1
   42.9844 1    42.0563 0    9548.06 1
    43.525 1    42.1192 1    10856.2 1
   43.5113 1    42.2136 0    11931.5 1
   44.0137 1    42.3112 0    22736.8 1
   42.8493 1    42.2097 0    13353.4 1
   44.3914 1    42.4009 1    13195.3 1
   43.1618 1     42.336 0    34597.2 1
   42.9658 1    41.8401 0    14738.9 1
   43.8926 1    41.6925 1    4987.14 1
   44.1117 1    41.8258 1    7580.47 1
   43.5991 1    42.0667 1    2668.71 1
   43.6948 1    41.7643 1    5404.96 1
   42.6844 1    41.2715 1     650.25 1
   43.2142 1    41.5996 0    5379.15 1
    43.722 1    41.7869 1    2403.58 1
    43.334 1    42.1802 0    3673.06 1
   43.7136 1    42.3365 0    26520.5 1
   43.9881 1    41.9777 1    16282.3 1
   43.6992 1    42.2644 0    26074.6 1
   43.0807 1      42.15 0      19789 1
   44.1765 1    41.8997 0    14967.4 1
   43.0287 1    41.5911 1    57.9121 1
   43.8377 1    42.5104 1    5569.04 1
    42.323 0    41.3454 0    3075.43 1
   43.3317 1    41.8714 1    7293.53 1
   43.7115 1    41.6485 0     6683.3 1
   43.3116 1    42.1811 1    13195.3 1
   44.0149 1    42.2097 1    9789.42 1
   42.4476 1    41.6567 0    6722.26 1
   42.9611 1    41.6394 0       5281 1
   44.1302 1    41.6613 1    5147.16 1
   43.0003 1     40.976 0    1338.22 1
   43.4405 1    42.0577 0    17139.6 1
    44.321 1    42.0805 0    10737.2 1
   43.7571 1    41.8758 0      11883 1
   43.9244 1    42.4958 0    22909.7 1
   43.7828 1    41.5855 1    4627.59 1
   43.6936 1    41.9099 1    12779.1 1
   42.7982 1    41.6763 0    8619.42 1
   43.1688 1    42.0036 0    25460.7 1
   43.9878 1    42.5085 1    21756.1 1
   43.4229 1    41.2749 0    3410.75 1
   43.4807 1    41.3285 1    2293.79 1
   43.6862 1    41.7132 1    11163.7 1
   43.7396 1     41.464 1    3422.25 1
   43.1488 1    42.1177 0    20680.1 1
   43.4037 1    42.2457 0    36293.1 1
   42.7601 1    42.1076 0    24593.3 1
    42.219 1    40.6143 0     376.36 1
   43.3512 1    41.5917 1    3924.98 1
   43.0519 1    41.6486 0    3462.01 1
   44.3459 1    42.5501 1        324 1
   43.5251 1    41.3373 1    1267.36 1
   42.7267 1    41.3882 1     566.44 1
   43.6862 1      41.68 1     998.56 1
   43.2131 1     41.848 1    3955.76 1
   44.3319 1    42.5192 1     665.64 1
   43.1593 1    41.5192 1    1056.25 1
   43.9042 1    41.6493 1    2124.36 1
   43.4158 1    41.9356 1    2925.72 1
   43.2962 1    42.0344 1    5784.37 1
   42.3054 1    40.9071 1     190.44 1
   43.4279 1    41.5906 1     992.25 1
   43.2335 1     41.403 1     282.24 1
    43.769 1    41.8985 1     2601.1 1
   43.3008 1    42.4056 1    2005.71 1
   41.9878 1    41.1459 1        196 1
   43.5273 1    42.2028 1     342.25 1
   44.0263 1    42.0138 1    7218.38 1
   43.5104 1    42.0622 1    8977.12 1
   43.2449 1    41.8225 0    10026.8 1
   42.0043 1    40.1321 0     272.25 1
   43.0072 1    41.7336 1     954.81 1
   43.2919 1    41.0985 1     470.89 1
   44.1749 1    42.2249 1     5368.2 1
   44.0444 1    42.4628 1    11841.4 1
   43.4894 1    41.6626 1     615.04 1
   43.6954 1    42.2603 1    1892.25 1
   44.3986 1    42.4524 1    12097.3 1
    43.869 1    41.9693 1     243.36 1
   45.1936 1    42.8144 1    11409.1 1
    43.227 1    41.7507 1     171.61 1
   44.2488 1    41.9918 1    13401.8 1
   43.6257 1    41.8218 1    1149.21 1
   43.8644 1     42.284 1     992.25 1
   44.0836 1    41.9805 1     349.69 1
   44.4021 1    42.1786 1    5531.06 1
   42.9652 1    41.4221 1    3465.61 1
   43.5135 1    43.2635 1    44821.8 1
   43.3831 1    42.4966 0    48191.7 1
   43.6596 1    41.8183 1    5080.59 1
   43.8922 1     41.889 1    8025.12 1
   43.6309 1    42.0993 0    16290.3 1
   43.7018 1    42.3053 0    15304.8 1
   43.5216 1    42.2508 1    5435.38 1
    43.133 1    41.5527 1    5732.97 1
   44.5471 1    42.2452 1    33343.4 1
