   43.5353 1    42.5292 1    37934.1 1
   43.4675 1    42.9242 1    16119.5 1
    43.884 1    43.3034 1    26551.4 1
   42.8685 1     42.278 0    31168.3 1
   42.7364 0    42.7816 0    7564.34 1
   42.1202 1      41.42 0     213.15 1
   43.6773 1     42.857 0    41581.5 1
   43.8695 1    43.1151 1    23602.8 1
   43.3735 1    42.8609 0    25098.7 1
   42.3178 1    41.9234 1    4805.95 1
   43.4468 1    42.8167 1      22147 1
   43.2441 0    42.5895 0    43090.3 1
   43.1501 1    43.7979 0    29742.3 1
   43.3967 1    42.3227 1    26761.2 1
   43.1164 1    42.9969 0      29586 1
   43.5851 1    42.8773 1    26551.4 1
    43.526 1    42.7015 1    20930.4 1
   44.0545 1    43.1593 1    14626.4 1
   43.2573 1    42.1749 1      10081 1
   43.3643 1    42.9487 1    34109.2 1
   42.0366 0    41.4279 0    2789.95 1
   42.3648 0     41.825 0    10458.6 1
   43.4564 0    42.4013 0    42521.1 1
   44.5688 1     43.524 1    39022.3 1
   42.9618 1    42.6348 0    18474.2 1
   43.7919 1    43.0199 1    34463.5 1
    43.558 1    42.7255 1    1959.21 1
   43.0969 1    42.9771 1    31197.1 1
   44.0857 1    43.0619 1    26727.1 1
   43.3267 1    42.2586 1    13425.5 1
   43.5016 1    42.7978 1    11908.2 1
   43.4541 1    42.9961 1    41054.6 1
   43.8029 1    43.5747 1    46391.5 1
   44.1697 1    43.4014 1    21009.9 1
   43.5126 1    42.9564 0    3103.11 1
   43.4923 1     42.985 1    28837.3 1
   42.8453 1    42.2785 0    17245.3 1
   43.8612 1     43.272 1    20624.5 1
   43.1323 1    42.8969 1    32539.2 1
   42.7692 1    42.0518 1      11114 1
   42.3223 0    41.7783 0    8425.93 1
   43.3041 1    43.5011 0    8678.65 1
   43.4618 1    42.5243 1    8654.77 1
   43.0528 1    42.5706 1    14872.5 1
   43.4094 1    42.4976 1    11714.9 1
   43.5215 1    43.0458 1    44711.1 1
   42.7147 1    42.6679 1    14590.8 1
   43.9252 1    43.3627 1    26712.4 1
   43.3439 1    42.5129 1      40653 1
   44.2324 1    43.7979 1    31967.6 1
   44.1837 1    43.2442 1     4230.9 1
    43.327 1    42.4952 1    2895.58 1
   43.5789 1    43.1575 1    11860.7 1
   44.0772 1    43.2002 1    11763.1 1
   42.9308 1    42.2854 1    3072.53 1
   43.4655 1     42.801 1    12869.9 1
   43.5389 1    43.4763 1    9513.47 1
   43.2881 1    42.6469 1    3932.11 1
   43.5886 1    43.2502 1      23718 1
   44.0802 1    43.1969 1    19185.9 1
   43.5953 1    42.8085 1    3768.07 1
   44.0753 1    43.1894 1    43502.5 1
   44.0212 1    42.8889 1    37934.1 1
   43.8462 1    43.1498 1      13800 1
   44.3364 1    43.5378 1    16381.7 1
   43.2464 1    42.7107 1    37999.9 1
   43.6509 1     42.545 1    4844.97 1
   42.9952 1    42.2493 1    22682.5 1
   43.9801 1    42.8299 1    28290.4 1
   43.5612 1    42.8668 0    6025.72 1
   43.9059 1    42.7703 1    47387.1 1
    44.015 1    42.9274 1    20996.9 1
   43.6365 1    42.5529 1    22999.9 1
   42.8097 1     42.627 0    28138.2 1
   42.9957 1    42.0583 0    9864.99 1
   43.4168 1    42.8721 1    35801.2 1
