           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy1       AND Sy2      
     
      # OF DATA POINTS : 261, # OF UPPER LIMITS : 138
      # OF DATA POINTS IN GROUP I  : 125
      # OF DATA POINTS IN GROUP II : 136
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              43.122         0         1    -257.0     259.0
              42.956         1         1       2.0       1.0
              42.821         0         1    -254.0     257.0
              42.814         0         2    -252.0     256.0
              42.761         1         1       4.0       1.0
              42.701         1         1       4.0       1.0
              42.683         0         1    -248.0     253.0
              42.664         1         2       5.0       1.0
              42.646         0         1    -245.0     251.0
              42.630         1         1       6.0       1.0
              42.613         0         2    -242.0     249.0
              42.592         1         2       7.0       1.0
              42.588         0         2    -239.0     247.0
              42.569         1         1       8.0       1.0
              42.559         0         1    -236.0     245.0
              42.550         0         2    -234.0     244.0
              42.538         1         2      10.0       1.0
              42.519         0         2    -231.0     242.0
              42.512         0         1    -229.0     241.0
              42.510         0         2    -227.0     240.0
              42.510         0         1    -225.0     239.0
              42.508         0         2    -223.0     238.0
              42.497         1         1      15.0       1.0
              42.496         1         2      15.0       1.0
              42.494         0         1    -219.0     235.0
              42.463         0         2    -217.0     234.0
              42.461         1         1      17.0       1.0
              42.461         1         1      17.0       1.0
              42.454         0         1    -213.0     231.0
              42.452         0         2    -211.0     230.0
              42.448         1         1      19.0       1.0
              42.428         1         2      19.0       1.0
              42.423         0         1    -207.0     227.0
              42.421         1         1      20.0       1.0
              42.410         0         1    -204.0     225.0
              42.406         1         2      21.0       1.0
              42.406         0         2    -201.0     223.0
              42.401         0         2    -199.0     222.0
              42.398         1         1      23.0       1.0
              42.392         0         1    -196.0     220.0
              42.386         1         2      24.0       1.0
              42.375         1         2      24.0       1.0
              42.374         0         2    -192.0     217.0
              42.370         1         1      25.0       1.0
              42.369         0         1    -189.0     215.0
              42.358         1         2      26.0       1.0
              42.350         0         1    -186.0     213.0
              42.348         0         1    -184.0     212.0
              42.345         1         2      28.0       1.0
              42.345         0         1    -181.0     210.0
              42.339         1         1      29.0       1.0
              42.333         1         1      29.0       1.0
              42.330         1         1      29.0       1.0
              42.323         0         2    -176.0     206.0
              42.310         1         1      30.0       1.0
              42.306         1         1      30.0       1.0
              42.305         0         1    -172.0     203.0
              42.304         1         2      31.0       1.0
              42.295         0         1    -169.0     201.0
              42.292         1         1      32.0       1.0
              42.284         0         2    -166.0     199.0
              42.275         1         1      33.0       1.0
              42.264         1         2      33.0       1.0
              42.260         0         2    -162.0     196.0
              42.252         1         1      34.0       1.0
              42.251         0         2    -159.0     194.0
              42.245         0         2    -157.0     193.0
              42.240         1         1      36.0       1.0
              42.235         0         2    -154.0     191.0
              42.225         0         2    -152.0     190.0
              42.224         1         1      38.0       1.0
              42.217         1         1      38.0       1.0
              42.210         0         2    -148.0     187.0
              42.203         0         2    -146.0     186.0
              42.198         1         1      40.0       1.0
              42.191         1         2      40.0       1.0
              42.181         0         2    -142.0     183.0
              42.180         1         2      41.0       1.0
              42.179         1         1      41.0       1.0
              42.179         0         2    -138.0     180.0
              42.178         0         2    -136.0     179.0
              42.178         1         1      43.0       1.0
              42.171         1         1      43.0       1.0
              42.171         0         1    -132.0     176.0
              42.143         0         1    -130.0     175.0
              42.129         1         2      45.0       1.0
              42.121         1         1      45.0       1.0
              42.119         0         2    -126.0     172.0
              42.116         0         2    -124.0     171.0
              42.110         1         2      47.0       1.0
              42.107         0         1    -121.0     169.0
              42.099         0         1    -119.0     168.0
              42.088         1         1      49.0       1.0
              42.086         1         1      49.0       1.0
              42.075         1         1      49.0       1.0
              42.068         0         1    -114.0     164.0
              42.067         0         2    -112.0     163.0
              42.066         0         1    -110.0     162.0
              42.062         0         2    -108.0     161.0
              42.049         1         1      53.0       1.0
              42.035         0         2    -105.0     159.0
              42.034         0         2    -103.0     158.0
              42.033         0         1    -101.0     157.0
              42.027         1         1      56.0       1.0
              42.021         1         1      56.0       1.0
              42.017         1         1      56.0       1.0
              42.015         0         1     -96.0     153.0
              42.014         1         1      57.0       1.0
              42.014         0         2     -93.0     151.0
              42.014         0         1     -91.0     150.0
              42.011         1         1      59.0       1.0
              42.005         0         2     -88.0     148.0
              41.992         0         2     -86.0     147.0
              41.984         1         1      61.0       1.0
              41.980         0         2     -83.0     145.0
              41.979         1         1      62.0       1.0
              41.978         0         2     -80.0     143.0
              41.969         0         2     -78.0     142.0
              41.936         1         2      64.0       1.0
              41.936         0         2     -75.0     140.0
              41.928         0         1     -73.0     139.0
              41.923         1         1      66.0       1.0
              41.915         0         1     -70.0     137.0
              41.914         1         2      67.0       1.0
              41.912         0         1     -67.0     135.0
              41.910         0         2     -65.0     134.0
              41.902         1         2      69.0       1.0
              41.900         1         2      69.0       1.0
              41.899         1         2      69.0       1.0
              41.898         0         2     -60.0     130.0
              41.889         0         2     -58.0     129.0
              41.885         0         1     -56.0     128.0
              41.880         0         1     -54.0     127.0
              41.876         1         1      73.0       1.0
              41.876         1         2      73.0       1.0
              41.872         1         1      73.0       1.0
              41.871         0         2     -49.0     123.0
              41.865         0         2     -47.0     122.0
              41.864         0         1     -45.0     121.0
              41.849         0         1     -43.0     120.0
              41.848         0         2     -41.0     119.0
              41.840         1         2      78.0       1.0
              41.826         0         2     -38.0     117.0
              41.822         0         2     -36.0     116.0
              41.818         1         1      80.0       1.0
              41.818         0         2     -33.0     114.0
              41.792         1         2      81.0       1.0
              41.787         0         2     -30.0     112.0
              41.778         0         2     -28.0     111.0
              41.764         0         2     -26.0     110.0
              41.757         0         1     -24.0     109.0
              41.751         0         2     -22.0     108.0
              41.748         0         1     -20.0     107.0
              41.748         1         2      87.0       1.0
              41.737         1         1      87.0       1.0
              41.734         0         2     -16.0     104.0
              41.729         1         1      88.0       1.0
              41.713         0         2     -13.0     102.0
              41.707         1         2      89.0       1.0
              41.707         1         1      89.0       1.0
              41.693         0         2      -9.0      99.0
              41.680         0         2      -7.0      98.0
              41.680         1         2      91.0       1.0
              41.676         1         2      91.0       1.0
              41.663         0         2      -3.0      95.0
              41.661         0         2      -1.0      94.0
              41.657         1         2      93.0       1.0
              41.649         0         2       2.0      92.0
              41.645         0         2       4.0      91.0
              41.632         0         1       6.0      90.0
              41.623         0         2       8.0      89.0
              41.600         1         2      97.0       1.0
              41.599         0         1      11.0      87.0
              41.594         1         1      98.0       1.0
              41.592         0         2      14.0      85.0
              41.591         0         2      16.0      84.0
              41.591         0         2      18.0      83.0
              41.586         0         2      20.0      82.0
              41.585         1         1     102.0       1.0
              41.584         1         1     102.0       1.0
              41.578         1         2     102.0       1.0
              41.567         1         1     102.0       1.0
              41.563         1         1     102.0       1.0
              41.557         1         1     102.0       1.0
              41.554         1         1     102.0       1.0
              41.553         0         2      29.0      74.0
              41.543         1         2     103.0       1.0
              41.519         0         2      32.0      72.0
              41.517         0         1      34.0      71.0
              41.502         1         2     105.0       1.0
              41.494         1         1     105.0       1.0
              41.477         1         2     105.0       1.0
              41.468         1         1     105.0       1.0
              41.464         0         2      40.0      66.0
              41.458         0         1      42.0      65.0
              41.443         0         1      44.0      64.0
              41.429         1         2     108.0       1.0
              41.422         0         2      47.0      62.0
              41.405         0         1      49.0      61.0
              41.403         0         2      51.0      60.0
              41.401         1         2     111.0       1.0
              41.399         1         1     111.0       1.0
              41.393         1         1     111.0       1.0
              41.388         0         2      56.0      56.0
              41.374         1         1     112.0       1.0
              41.361         1         1     112.0       1.0
              41.361         1         2     112.0       1.0
              41.350         0         1      61.0      52.0
              41.349         1         1     113.0       1.0
              41.349         1         1     113.0       1.0
              41.346         1         2     113.0       1.0
              41.345         1         2     113.0       1.0
              41.345         1         1     113.0       1.0
              41.337         0         2      68.0      46.0
              41.328         0         2      70.0      45.0
              41.302         1         2     115.0       1.0
              41.283         1         1     115.0       1.0
              41.272         0         2      74.0      42.0
              41.249         1         2     116.0       1.0
              41.247         1         2     116.0       1.0
              41.222         1         1     116.0       1.0
              41.216         1         2     116.0       1.0
              41.171         1         2     116.0       1.0
              41.169         1         1     116.0       1.0
              41.160         1         2     116.0       1.0
              41.146         0         2      83.0      34.0
              41.133         1         1     117.0       1.0
              41.118         1         2     117.0       1.0
              41.101         0         1      87.0      31.0
              41.099         0         2      89.0      30.0
              41.060         0         2      91.0      29.0
              41.034         1         1     120.0       1.0
              41.032         1         1     120.0       1.0
              41.009         1         2     120.0       1.0
              41.008         1         1     120.0       1.0
              40.967         1         1     120.0       1.0
              40.927         1         1     120.0       1.0
              40.907         1         2     120.0       1.0
              40.907         0         2     100.0      21.0
              40.897         0         1     102.0      20.0
              40.867         1         1     122.0       1.0
              40.829         1         1     122.0       1.0
              40.826         1         2     122.0       1.0
              40.823         1         2     122.0       1.0
              40.752         1         1     122.0       1.0
              40.737         1         1     122.0       1.0
              40.733         0         1     110.0      13.0
              40.722         1         1     123.0       1.0
              40.712         1         2     123.0       1.0
              40.694         1         2     123.0       1.0
              40.623         1         2     123.0       1.0
              40.617         1         1     123.0       1.0
              40.610         1         2     123.0       1.0
              40.599         1         2     123.0       1.0
              40.554         1         2     123.0       1.0
              40.525         1         2     123.0       1.0
              40.257         1         2     123.0       1.0
              40.029         1         2     123.0       1.0
              39.975         1         1     123.0       1.0
          TEST STATISTIC        =       0.880
          PROBABILITY           =       0.3788

     
        GEHAN`S GENERALIZED WILCOXON TEST -- HYPERGEOMETRIC VARIANCE
     
          WW  =         785.000
          VAR =      789628.000
     
             

               T(I)         SCORE(I)
              43.264        124.000
              43.122       -135.000
              42.821       -135.000
              42.814        121.000
              42.683       -134.000
              42.646       -133.000
              42.613        116.000
              42.588        116.000
              42.559       -130.000
              42.550        114.000
              42.519        114.000
              42.512       -127.000
              42.510        113.000
              42.510       -126.000
              42.508        112.000
              42.494       -124.000
              42.463        110.000
              42.454       -123.000
              42.452        107.000
              42.423       -121.000
              42.410       -121.000
              42.406        103.000
              42.401        103.000
              42.392       -118.000
              42.374        101.000
              42.369       -115.000
              42.350       -114.000
              42.348       -114.000
              42.345       -113.000
              42.323         93.000
              42.305       -112.000
              42.295       -111.000
              42.284         88.000
              42.260         87.000
              42.251         86.000
              42.245         86.000
              42.235         85.000
              42.225         85.000
              42.210         83.000
              42.203         83.000
              42.181         82.000
              42.179         81.000
              42.178         81.000
              42.171        -97.000
              42.143        -97.000
              42.119         76.000
              42.116         76.000
              42.107        -93.000
              42.099        -93.000
              42.068        -93.000
              42.067         70.000
              42.066        -92.000
              42.062         69.000
              42.035         68.000
              42.034         68.000
              42.033        -89.000
              42.015        -89.000
              42.014         62.000
              42.014        -88.000
              42.005         60.000
              41.992         60.000
              41.980         59.000
              41.978         58.000
              41.969         58.000
              41.936         58.000
              41.928        -81.000
              41.915        -81.000
              41.912        -80.000
              41.910         54.000
              41.898         54.000
              41.889         54.000
              41.885        -74.000
              41.880        -74.000
              41.871         50.000
              41.865         50.000
              41.864        -71.000
              41.849        -71.000
              41.848         48.000
              41.826         48.000
              41.822         48.000
              41.818         47.000
              41.787         47.000
              41.778         47.000
              41.764         47.000
              41.757        -62.000
              41.751         46.000
              41.748        -61.000
              41.734         44.000
              41.713         43.000
              41.693         42.000
              41.680         42.000
              41.663         42.000
              41.661         42.000
              41.649         42.000
              41.645         42.000
              41.632        -48.000
              41.623         41.000
              41.599        -46.000
              41.592         39.000
              41.591         39.000
              41.591         39.000
              41.586         39.000
              41.553         33.000
              41.519         33.000
              41.517        -38.000
              41.464         30.000
              41.458        -35.000
              41.443        -35.000
              41.422         28.000
              41.405        -33.000
              41.403         27.000
              41.388         25.000
              41.350        -29.000
              41.337         19.000
              41.328         19.000
              41.272         18.000
              41.146         16.000
              41.101        -16.000
              41.099         14.000
              41.060         14.000
              40.907          9.000
              40.897        -11.000
              40.733         -9.000
          TEST STATISTIC        =       0.883
          PROBABILITY           =       0.3770

     
        LOGRANK TEST 
     
          WW  =           8.483
          VAR =          30.268
     
             

