           ******* TWO SAMPLE TEST ******
    
        TITLE : L350 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L350     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS :  97
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              43.271         1         1       3.0       1.0
              43.213         0         1    -296.0     300.0
              43.198         0         2    -294.0     299.0
              43.191         0         1    -292.0     298.0
              43.183         0         2    -290.0     297.0
              43.170         0         1    -288.0     296.0
              43.139         0         2    -286.0     295.0
              43.125         0         2    -284.0     294.0
              43.109         0         1    -282.0     293.0
              43.100         0         1    -280.0     292.0
              43.099         0         1    -278.0     291.0
              43.090         0         2    -276.0     290.0
              43.084         0         2    -274.0     289.0
              43.077         0         2    -272.0     288.0
              43.072         0         1    -270.0     287.0
              43.071         0         2    -268.0     286.0
              43.057         0         2    -266.0     285.0
              43.054         1         2      19.0       1.0
              43.040         0         1    -263.0     283.0
              43.012         1         2      20.0       1.0
              43.004         0         1    -260.0     281.0
              43.002         1         2      21.0       1.0
              42.992         0         1    -257.0     279.0
              42.984         0         2    -255.0     278.0
              42.983         0         2    -253.0     277.0
              42.975         0         1    -251.0     276.0
              42.975         0         2    -249.0     275.0
              42.973         0         2    -247.0     274.0
              42.968         0         1    -245.0     273.0
              42.964         0         2    -243.0     272.0
              42.961         0         1    -241.0     271.0
              42.961         0         1    -239.0     270.0
              42.960         0         1    -237.0     269.0
              42.949         0         1    -235.0     268.0
              42.946         0         2    -233.0     267.0
              42.943         0         1    -231.0     266.0
              42.919         1         1      35.0       1.0
              42.890         0         2    -228.0     264.0
              42.886         0         1    -226.0     263.0
              42.874         0         1    -224.0     262.0
              42.869         0         2    -222.0     261.0
              42.868         0         2    -220.0     260.0
              42.862         0         2    -218.0     259.0
              42.859         0         2    -216.0     258.0
              42.850         0         2    -214.0     257.0
              42.847         0         2    -212.0     256.0
              42.839         0         2    -210.0     255.0
              42.832         0         2    -208.0     254.0
              42.818         1         2      46.0       1.0
              42.816         0         2    -205.0     252.0
              42.812         1         1      47.0       1.0
              42.809         0         2    -202.0     250.0
              42.805         0         1    -200.0     249.0
              42.804         0         2    -198.0     248.0
              42.803         0         2    -196.0     247.0
              42.795         0         2    -194.0     246.0
              42.793         0         2    -192.0     245.0
              42.786         1         1      53.0       1.0
              42.785         0         1    -189.0     243.0
              42.783         0         2    -187.0     242.0
              42.781         0         1    -185.0     241.0
              42.779         0         1    -183.0     240.0
              42.779         0         2    -181.0     239.0
              42.775         0         2    -179.0     238.0
              42.775         0         1    -177.0     237.0
              42.773         0         1    -175.0     236.0
              42.771         1         2      61.0       1.0
              42.768         0         1    -172.0     234.0
              42.764         0         2    -170.0     233.0
              42.762         0         2    -168.0     232.0
              42.760         0         2    -166.0     231.0
              42.757         0         1    -164.0     230.0
              42.749         0         2    -162.0     229.0
              42.747         0         1    -160.0     228.0
              42.740         0         2    -158.0     227.0
              42.724         0         1    -156.0     226.0
              42.723         0         1    -154.0     225.0
              42.717         0         2    -152.0     224.0
              42.715         0         2    -150.0     223.0
              42.714         1         1      73.0       1.0
              42.713         0         1    -147.0     221.0
              42.706         0         2    -145.0     220.0
              42.706         0         1    -143.0     219.0
              42.698         1         1      76.0       1.0
              42.690         0         2    -140.0     217.0
              42.689         0         1    -138.0     216.0
              42.688         0         1    -136.0     215.0
              42.673         0         1    -134.0     214.0
              42.672         0         2    -132.0     213.0
              42.671         0         1    -130.0     212.0
              42.669         0         1    -128.0     211.0
              42.668         0         2    -126.0     210.0
              42.658         0         1    -124.0     209.0
              42.650         1         2      85.0       1.0
              42.640         0         2    -121.0     207.0
              42.639         0         1    -119.0     206.0
              42.629         0         2    -117.0     205.0
              42.620         0         1    -115.0     204.0
              42.616         0         2    -113.0     203.0
              42.611         0         2    -111.0     202.0
              42.606         1         1      91.0       1.0
              42.605         0         2    -108.0     200.0
              42.605         0         1    -106.0     199.0
              42.605         1         2      93.0       1.0
              42.601         0         2    -103.0     197.0
              42.600         0         2    -101.0     196.0
              42.596         1         2      95.0       1.0
              42.578         0         1     -98.0     194.0
              42.575         0         2     -96.0     193.0
              42.564         0         2     -94.0     192.0
              42.563         0         2     -92.0     191.0
              42.561         1         1      99.0       1.0
              42.555         0         1     -89.0     189.0
              42.554         1         1     100.0       1.0
              42.551         0         1     -86.0     187.0
              42.551         0         1     -84.0     186.0
              42.548         0         1     -82.0     185.0
              42.544         0         2     -80.0     184.0
              42.538         1         2     104.0       1.0
              42.526         0         2     -77.0     182.0
              42.522         0         1     -75.0     181.0
              42.521         1         1     106.0       1.0
              42.521         0         2     -72.0     179.0
              42.518         1         1     107.0       1.0
              42.502         0         2     -69.0     177.0
              42.500         1         1     108.0       1.0
              42.499         1         1     108.0       1.0
              42.494         0         2     -65.0     174.0
              42.494         0         1     -63.0     173.0
              42.489         1         2     110.0       1.0
              42.487         0         2     -60.0     171.0
              42.486         1         2     111.0       1.0
              42.483         0         2     -57.0     169.0
              42.475         0         2     -55.0     168.0
              42.474         0         2     -53.0     167.0
              42.471         1         1     114.0       1.0
              42.471         0         1     -50.0     165.0
              42.471         1         1     115.0       1.0
              42.467         0         1     -47.0     163.0
              42.466         0         1     -45.0     162.0
              42.464         0         2     -43.0     161.0
              42.464         0         2     -41.0     160.0
              42.461         0         1     -39.0     159.0
              42.454         0         2     -37.0     158.0
              42.451         1         2     121.0       1.0
              42.450         0         2     -34.0     156.0
              42.447         0         2     -32.0     155.0
              42.445         0         1     -30.0     154.0
              42.445         0         2     -28.0     153.0
              42.443         1         1     125.0       1.0
              42.441         0         1     -25.0     151.0
              42.440         0         1     -23.0     150.0
              42.439         1         1     127.0       1.0
              42.437         1         1     127.0       1.0
              42.435         0         2     -18.0     146.0
              42.435         0         1     -18.0     146.0
              42.431         0         2     -15.0     145.0
              42.425         0         1     -13.0     144.0
              42.424         1         2     131.0       1.0
              42.422         1         2     131.0       1.0
              42.415         0         1      -9.0     141.0
              42.393         0         2      -7.0     140.0
              42.392         0         2      -5.0     139.0
              42.380         1         2     134.0       1.0
              42.370         0         2      -2.0     137.0
              42.368         0         2       0.0     136.0
              42.362         0         2       2.0     135.0
              42.359         0         2       4.0     134.0
              42.359         1         1     138.0       1.0
              42.356         1         2     138.0       1.0
              42.356         0         2       8.0     131.0
              42.355         1         2     139.0       1.0
              42.354         0         2      11.0     129.0
              42.353         1         1     140.0       1.0
              42.352         1         2     140.0       1.0
              42.352         1         1     140.0       1.0
              42.351         0         2      16.0     125.0
              42.347         0         2      18.0     124.0
              42.341         1         1     142.0       1.0
              42.340         0         2      21.0     122.0
              42.340         0         2      24.0     120.0
              42.340         0         2      24.0     120.0
              42.339         1         1     145.0       1.0
              42.338         1         2     145.0       1.0
              42.336         0         1      29.0     117.0
              42.334         0         2      31.0     116.0
              42.332         1         1     147.0       1.0
              42.329         0         2      34.0     114.0
              42.320         0         1      36.0     113.0
              42.319         0         1      38.0     112.0
              42.315         1         1     150.0       1.0
              42.311         1         1     150.0       1.0
              42.310         0         2      42.0     109.0
              42.304         1         1     151.0       1.0
              42.294         0         2      45.0     107.0
              42.292         0         1      47.0     106.0
              42.288         1         1     153.0       1.0
              42.287         1         1     153.0       1.0
              42.286         1         2     153.0       1.0
              42.284         0         2      52.0     102.0
              42.281         1         2     154.0       1.0
              42.276         1         1     154.0       1.0
              42.272         1         2     154.0       1.0
              42.272         0         1      57.0      98.0
              42.264         1         2     155.0       1.0
              42.260         0         2      60.0      96.0
              42.258         0         1      63.0      94.0
              42.258         0         1      63.0      94.0
              42.257         1         1     158.0       1.0
              42.247         0         1      67.0      92.0
              42.228         0         2      69.0      91.0
              42.227         1         2     160.0       1.0
              42.226         1         1     160.0       1.0
              42.223         0         2      73.0      88.0
              42.221         0         2      75.0      87.0
              42.217         0         1      77.0      86.0
              42.216         1         1     163.0       1.0
              42.210         1         1     163.0       1.0
              42.209         1         1     163.0       1.0
              42.198         0         2      82.0      82.0
              42.197         0         2      84.0      81.0
              42.186         1         2     165.0       1.0
              42.185         1         1     165.0       1.0
              42.169         1         1     165.0       1.0
              42.159         0         1      89.0      77.0
              42.157         0         2      91.0      76.0
              42.156         1         2     167.0       1.0
              42.150         1         2     167.0       1.0
              42.148         0         1      95.0      73.0
              42.148         0         2      97.0      72.0
              42.147         1         2     169.0       1.0
              42.142         1         1     169.0       1.0
              42.135         0         2     101.0      69.0
              42.128         0         2     103.0      68.0
              42.124         0         1     105.0      67.0
              42.124         1         2     172.0       1.0
              42.117         0         2     108.0      65.0
              42.115         1         2     173.0       1.0
              42.114         0         1     111.0      63.0
              42.111         0         1     113.0      62.0
              42.109         1         1     175.0       1.0
              42.099         0         2     116.0      60.0
              42.090         0         1     118.0      59.0
              42.089         1         1     177.0       1.0
              42.086         1         1     177.0       1.0
              42.083         0         2     122.0      56.0
              42.075         0         2     124.0      55.0
              42.059         0         2     126.0      54.0
              42.052         0         1     128.0      53.0
              42.044         1         1     181.0       1.0
              42.030         1         1     181.0       1.0
              42.027         0         2     132.0      50.0
              42.026         1         1     182.0       1.0
              41.991         0         1     135.0      48.0
              41.977         0         2     137.0      47.0
              41.969         0         2     139.0      46.0
              41.962         0         2     141.0      45.0
              41.962         0         1     143.0      44.0
              41.957         1         2     187.0       1.0
              41.954         1         2     187.0       1.0
              41.940         0         1     147.0      41.0
              41.929         0         1     149.0      40.0
              41.928         1         1     189.0       1.0
              41.927         0         1     152.0      38.0
              41.919         0         1     154.0      37.0
              41.911         0         1     156.0      36.0
              41.889         0         1     158.0      35.0
              41.856         1         2     193.0       1.0
              41.842         0         2     161.0      33.0
              41.842         0         1     163.0      32.0
              41.834         1         1     195.0       1.0
              41.821         1         2     195.0       1.0
              41.819         0         1     167.0      29.0
              41.812         0         1     169.0      28.0
              41.811         0         2     171.0      27.0
              41.783         1         2     198.0       1.0
              41.731         0         2     174.0      25.0
              41.730         0         2     176.0      24.0
              41.689         0         2     178.0      23.0
              41.672         1         1     201.0       1.0
              41.667         1         1     201.0       1.0
              41.639         0         2     182.0      20.0
              41.638         0         1     184.0      19.0
              41.534         1         1     203.0       1.0
              41.518         1         2     203.0       1.0
              41.513         0         1     188.0      16.0
              41.505         1         1     204.0       1.0
              41.478         1         1     204.0       1.0
              41.477         0         2     192.0      13.0
              41.476         1         1     205.0       1.0
              41.403         1         1     205.0       1.0
              41.365         0         1     196.0      10.0
              41.358         0         1     198.0       9.0
              41.348         0         2     200.0       8.0
              41.345         1         1     208.0       1.0
              41.227         1         2     208.0       1.0
              41.200         1         1     208.0       1.0
              41.168         1         1     208.0       1.0
              41.090         1         1     208.0       1.0
              40.987         1         2     208.0       1.0
              40.751         0         2     208.0       1.0
          TEST STATISTIC        =       1.945
          PROBABILITY           =       0.0518

     
        GEHAN`S GENERALIZED WILCOXON TEST -- HYPERGEOMETRIC VARIANCE
     
          WW  =        2683.000
          VAR =     1905419.138
     
             

               T(I)         SCORE(I)
              43.537       -157.000
              43.454        147.000
              43.337        147.000
              43.213       -155.000
              43.198        144.000
              43.191       -154.000
              43.183        143.000
              43.170       -153.000
              43.139        142.000
              43.125        142.000
              43.109       -151.000
              43.100       -151.000
              43.099       -151.000
              43.090        139.000
              43.084        139.000
              43.077        139.000
              43.072       -148.000
              43.071        138.000
              43.057        138.000
              43.040       -145.000
              43.004       -144.000
              42.992       -143.000
              42.984        135.000
              42.983        135.000
              42.975       -141.000
              42.975        134.000
              42.973        134.000
              42.968       -139.000
              42.964        133.000
              42.961       -138.000
              42.961       -138.000
              42.960       -138.000
              42.949       -138.000
              42.946        129.000
              42.943       -137.000
              42.890        127.000
              42.886       -136.000
              42.874       -136.000
              42.869        125.000
              42.868        125.000
              42.862        125.000
              42.859        125.000
              42.850        125.000
              42.847        125.000
              42.839        125.000
              42.832        125.000
              42.816        125.000
              42.809        124.000
              42.805       -125.000
              42.804        123.000
              42.803        123.000
              42.795        123.000
              42.793        123.000
              42.785       -121.000
              42.783        121.000
              42.781       -120.000
              42.779       -120.000
              42.779        119.000
              42.775        119.000
              42.775       -118.000
              42.773       -118.000
              42.768       -117.000
              42.764        116.000
              42.762        116.000
              42.760        116.000
              42.757       -114.000
              42.749        115.000
              42.747       -113.000
              42.740        114.000
              42.724       -112.000
              42.723       -112.000
              42.717        112.000
              42.715        112.000
              42.713       -110.000
              42.706        110.000
              42.706       -109.000
              42.690        108.000
              42.689       -108.000
              42.688       -108.000
              42.673       -108.000
              42.672        105.000
              42.671       -107.000
              42.669       -107.000
              42.668        103.000
              42.658       -106.000
              42.640        102.000
              42.639       -104.000
              42.629        101.000
              42.620       -103.000
              42.616        100.000
              42.611        100.000
              42.605         99.000
              42.605       -100.000
              42.601         98.000
              42.600         98.000
              42.578        -96.000
              42.575         97.000
              42.564         97.000
              42.563         97.000
              42.555        -93.000
              42.551        -93.000
              42.551        -93.000
              42.548        -93.000
              42.544         91.000
              42.526         91.000
              42.522        -90.000
              42.521         89.000
              42.502         88.000
              42.494         86.000
              42.494        -87.000
              42.487         85.000
              42.483         85.000
              42.475         85.000
              42.474         85.000
              42.471        -81.000
              42.467        -81.000
              42.466        -81.000
              42.464         80.000
              42.464         80.000
              42.461        -79.000
              42.454         79.000
              42.450         79.000
              42.447         79.000
              42.445        -75.000
              42.445         78.000
              42.441        -74.000
              42.440        -74.000
              42.435         -1.000
              42.431         72.000
              42.425        -72.000
              42.415        -70.000
              42.393         70.000
              42.392         70.000
              42.370         70.000
              42.368         70.000
              42.362         70.000
              42.359         70.000
              42.356         69.000
              42.354         69.000
              42.351         67.000
              42.347         67.000
              42.340         66.000
              42.340        132.000
              42.336        -52.000
              42.334         64.000
              42.329         63.000
              42.320        -50.000
              42.319        -50.000
              42.310         59.000
              42.294         58.000
              42.292        -48.000
              42.284         55.000
              42.272        -44.000
              42.260         53.000
              42.258        -84.000
              42.247        -42.000
              42.228         49.000
              42.223         48.000
              42.221         48.000
              42.217        -38.000
              42.198         44.000
              42.197         44.000
              42.159        -35.000
              42.157         41.000
              42.148        -32.000
              42.148         40.000
              42.135         39.000
              42.128         39.000
              42.124        -28.000
              42.117         38.000
              42.114        -25.000
              42.111        -25.000
              42.099         35.000
              42.090        -24.000
              42.083         32.000
              42.075         32.000
              42.059         32.000
              42.052        -21.000
              42.027         29.000
              41.991        -20.000
              41.977         27.000
              41.969         27.000
              41.962         27.000
              41.962        -17.000
              41.940        -15.000
              41.929        -15.000
              41.927        -15.000
              41.919        -15.000
              41.911        -15.000
              41.889        -15.000
              41.842         19.000
              41.842        -13.000
              41.819        -12.000
              41.812        -12.000
              41.811         15.000
              41.731         15.000
              41.730         15.000
              41.689         15.000
              41.639         13.000
              41.638         -6.000
              41.513         -5.000
              41.477          8.000
              41.365         -4.000
              41.358         -4.000
              41.348          4.000
              40.751          0.000
          TEST STATISTIC        =       1.944
          PROBABILITY           =       0.0519

     
        LOGRANK TEST 
     
          WW  =          18.571
          VAR =          51.501
     
             

               T(I)         SCORE(I)
              43.537         -0.515
              43.454          0.484
              43.337          0.485
              43.213         -0.517
              43.198          0.482
              43.191         -0.517
              43.183          0.481
              43.170         -0.517
              43.139          0.481
              43.125          0.483
              43.109         -0.515
              43.100         -0.517
              43.099         -0.519
              43.090          0.479
              43.084          0.481
              43.077          0.483
              43.072         -0.516
              43.071          0.483
              43.057          0.484
              43.040         -0.512
              43.004         -0.512
              42.992         -0.513
              42.984          0.486
              42.983          0.487
              42.975         -0.511
              42.975          0.487
              42.973          0.489
              42.968         -0.509
              42.964          0.489
              42.961         -0.509
              42.961         -0.511
              42.960         -0.513
              42.949         -0.515
              42.946          0.483
              42.943         -0.515
              42.890          0.481
              42.886         -0.517
              42.874         -0.519
              42.869          0.479
              42.868          0.481
              42.862          0.483
              42.859          0.484
              42.850          0.486
              42.847          0.488
              42.839          0.490
              42.832          0.492
              42.816          0.496
              42.809          0.496
              42.805         -0.502
              42.804          0.496
              42.803          0.498
              42.795          0.500
              42.793          0.502
              42.785         -0.498
              42.783          0.500
              42.781         -0.498
              42.779         -0.500
              42.779          0.498
              42.775          0.500
              42.775         -0.498
              42.773         -0.500
              42.768         -0.500
              42.764          0.498
              42.762          0.500
              42.760          0.502
              42.757         -0.496
              42.749          0.502
              42.747         -0.496
              42.740          0.502
              42.724         -0.496
              42.723         -0.498
              42.717          0.500
              42.715          0.502
              42.713         -0.498
              42.706          0.500
              42.706         -0.498
              42.690          0.498
              42.689         -0.500
              42.688         -0.502
              42.673         -0.505
              42.672          0.493
              42.671         -0.505
              42.669         -0.507
              42.668          0.490
              42.658         -0.507
              42.640          0.493
              42.639         -0.505
              42.629          0.493
              42.620         -0.505
              42.616          0.493
              42.611          0.495
              42.605          0.495
              42.605         -0.503
              42.601          0.497
              42.600          0.500
              42.578         -0.495
              42.575          0.503
              42.564          0.505
              42.563          0.508
              42.555         -0.492
              42.551         -0.497
              42.551         -0.500
              42.548         -0.503
              42.544          0.495
              42.526          0.500
              42.522         -0.497
              42.521          0.497
              42.502          0.497
              42.494          0.494
              42.494         -0.503
              42.487          0.497
              42.483          0.503
              42.475          0.506
              42.474          0.509
              42.471         -0.491
              42.467         -0.497
              42.466         -0.500
              42.464          0.497
              42.464          0.500
              42.461         -0.497
              42.454          0.500
              42.450          0.506
              42.447          0.510
              42.445         -0.487
              42.445          0.510
              42.441         -0.490
              42.440         -0.493
              42.435         -0.007
              42.431          0.497
              42.425         -0.500
