           ******* TWO SAMPLE TEST ******
    
        TITLE : L350 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L350     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS :  97
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
     
           43.537        305.000          1.000          0.003          1.000
     
           43.454        304.000          1.000          0.003          0.997
     
           43.337        303.000          1.000          0.003          0.993
     
           43.213        300.000          1.000          0.003          0.990
     
           43.198        299.000          1.000          0.003          0.987
     
           43.191        298.000          1.000          0.003          0.984
     
           43.183        297.000          1.000          0.003          0.980
     
           43.170        296.000          1.000          0.003          0.977
     
           43.139        295.000          1.000          0.003          0.974
     
           43.125        294.000          1.000          0.003          0.970
     
           43.109        293.000          1.000          0.003          0.967
     
           43.100        292.000          1.000          0.003          0.964
     
           43.099        291.000          1.000          0.003          0.960
     
           43.090        290.000          1.000          0.003          0.957
     
           43.084        289.000          1.000          0.003          0.954
     
           43.077        288.000          1.000          0.003          0.951
     
           43.072        287.000          1.000          0.003          0.947
     
           43.071        286.000          1.000          0.003          0.944
     
           43.057        285.000          1.000          0.004          0.941
     
           43.040        283.000          1.000          0.004          0.937
     
           43.004        281.000          1.000          0.004          0.934
     
           42.992        279.000          1.000          0.004          0.931
     
           42.984        278.000          1.000          0.004          0.927
     
           42.983        277.000          1.000          0.004          0.924
     
           42.975        276.000          1.000          0.004          0.921
     
           42.975        275.000          1.000          0.004          0.917
     
           42.973        274.000          1.000          0.004          0.914
     
           42.968        273.000          1.000          0.004          0.911
     
           42.964        272.000          1.000          0.004          0.907
     
           42.961        271.000          1.000          0.004          0.904
     
           42.961        270.000          1.000          0.004          0.901
     
           42.960        269.000          1.000          0.004          0.897
     
           42.949        268.000          1.000          0.004          0.894
     
           42.946        267.000          1.000          0.004          0.891
     
           42.943        266.000          1.000          0.004          0.887
     
           42.890        264.000          1.000          0.004          0.884
     
           42.886        263.000          1.000          0.004          0.881
     
           42.874        262.000          1.000          0.004          0.877
     
           42.869        261.000          1.000          0.004          0.874
     
           42.868        260.000          1.000          0.004          0.871
     
           42.862        259.000          1.000          0.004          0.867
     
           42.859        258.000          1.000          0.004          0.864
     
           42.850        257.000          1.000          0.004          0.861
     
           42.847        256.000          1.000          0.004          0.857
     
           42.839        255.000          1.000          0.004          0.854
     
           42.832        254.000          1.000          0.004          0.851
     
           42.816        252.000          1.000          0.004          0.847
     
           42.809        250.000          1.000          0.004          0.844
     
           42.805        249.000          1.000          0.004          0.840
     
           42.804        248.000          1.000          0.004          0.837
     
           42.803        247.000          1.000          0.004          0.834
     
           42.795        246.000          1.000          0.004          0.830
     
           42.793        245.000          1.000          0.004          0.827
     
           42.785        243.000          1.000          0.004          0.824
     
           42.783        242.000          1.000          0.004          0.820
     
           42.781        241.000          1.000          0.004          0.817
     
           42.779        240.000          1.000          0.004          0.813
     
           42.779        239.000          1.000          0.004          0.810
     
           42.775        238.000          1.000          0.004          0.807
     
           42.775        237.000          1.000          0.004          0.803
     
           42.773        236.000          1.000          0.004          0.800
     
           42.768        234.000          1.000          0.004          0.796
     
           42.764        233.000          1.000          0.004          0.793
     
           42.762        232.000          1.000          0.004          0.790
     
           42.760        231.000          1.000          0.004          0.786
     
           42.757        230.000          1.000          0.004          0.783
     
           42.749        229.000          1.000          0.004          0.779
     
           42.747        228.000          1.000          0.004          0.776
     
           42.740        227.000          1.000          0.004          0.773
     
           42.724        226.000          1.000          0.004          0.769
     
           42.723        225.000          1.000          0.004          0.766
     
           42.717        224.000          1.000          0.004          0.762
     
           42.715        223.000          1.000          0.004          0.759
     
           42.713        221.000          1.000          0.005          0.756
     
           42.706        220.000          1.000          0.005          0.752
     
           42.706        219.000          1.000          0.005          0.749
     
           42.690        217.000          1.000          0.005          0.745
     
           42.689        216.000          1.000          0.005          0.742
     
           42.688        215.000          1.000          0.005          0.738
     
           42.673        214.000          1.000          0.005          0.735
     
           42.672        213.000          1.000          0.005          0.732
     
           42.671        212.000          1.000          0.005          0.728
     
           42.669        211.000          1.000          0.005          0.725
     
           42.668        210.000          1.000          0.005          0.721
     
           42.658        209.000          1.000          0.005          0.718
     
           42.640        207.000          1.000          0.005          0.714
     
           42.639        206.000          1.000          0.005          0.711
     
           42.629        205.000          1.000          0.005          0.708
     
           42.620        204.000          1.000          0.005          0.704
     
           42.616        203.000          1.000          0.005          0.701
     
           42.611        202.000          1.000          0.005          0.697
     
           42.605        200.000          1.000          0.005          0.694
     
           42.605        199.000          1.000          0.005          0.690
     
           42.601        197.000          1.000          0.005          0.687
     
           42.600        196.000          1.000          0.005          0.683
     
           42.578        194.000          1.000          0.005          0.680
     
           42.575        193.000          1.000          0.005          0.676
     
           42.564        192.000          1.000          0.005          0.673
     
           42.563        191.000          1.000          0.005          0.669
     
           42.555        189.000          1.000          0.005          0.666
     
           42.551        187.000          1.000          0.005          0.662
     
           42.551        186.000          1.000          0.005          0.659
     
           42.548        185.000          1.000          0.005          0.655
     
           42.544        184.000          1.000          0.005          0.652
     
           42.526        182.000          1.000          0.005          0.648
     
           42.522        181.000          1.000          0.006          0.645
     
           42.521        179.000          1.000          0.006          0.641
     
           42.502        177.000          1.000          0.006          0.637
     
           42.494        174.000          1.000          0.006          0.634
     
           42.494        173.000          1.000          0.006          0.630
     
           42.487        171.000          1.000          0.006          0.627
     
           42.483        169.000          1.000          0.006          0.623
     
           42.475        168.000          1.000          0.006          0.619
     
           42.474        167.000          1.000          0.006          0.615
     
           42.471        165.000          1.000          0.006          0.612
     
           42.467        163.000          1.000          0.006          0.608
     
           42.466        162.000          1.000          0.006          0.604
     
           42.464        161.000          1.000          0.006          0.601
     
           42.464        160.000          1.000          0.006          0.597
     
           42.461        159.000          1.000          0.006          0.593
     
           42.454        158.000          1.000          0.006          0.589
     
           42.450        156.000          1.000          0.006          0.586
     
           42.447        155.000          1.000          0.006          0.582
     
           42.445        154.000          1.000          0.006          0.578
     
           42.445        153.000          1.000          0.007          0.574
     
           42.441        151.000          1.000          0.007          0.571
     
           42.440        150.000          1.000          0.007          0.567
     
           42.435        147.000          2.000          0.014          0.563
     
           42.431        145.000          1.000          0.007          0.555
     
           42.425        144.000          1.000          0.007          0.552
     
           42.415        141.000          1.000          0.007          0.548
     
           42.393        140.000          1.000          0.007          0.544
     
           42.392        139.000          1.000          0.007          0.540
     
           42.370        137.000          1.000          0.007          0.536
     
           42.368        136.000          1.000          0.007          0.532
     
           42.362        135.000          1.000          0.007          0.528
     
           42.359        134.000          1.000          0.007          0.524
     
           42.356        131.000          1.000          0.008          0.521
     
           42.354        129.000          1.000          0.008          0.517
     
           42.351        125.000          1.000          0.008          0.513
     
           42.347        124.000          1.000          0.008          0.508
     
           42.340        122.000          1.000          0.008          0.504
     
           42.340        121.000          2.000          0.017          0.500
     
           42.336        117.000          1.000          0.009          0.492
     
           42.334        116.000          1.000          0.009          0.488
     
           42.329        114.000          1.000          0.009          0.484
     
           42.320        113.000          1.000          0.009          0.479
     
           42.319        112.000          1.000          0.009          0.475
     
           42.310        109.000          1.000          0.009          0.471
     
           42.294        107.000          1.000          0.009          0.466
     
           42.292        106.000          1.000          0.009          0.462
     
           42.284        102.000          1.000          0.010          0.458
     
           42.272         98.000          1.000          0.010          0.453
     
           42.260         96.000          1.000          0.010          0.449
     
           42.258         95.000          2.000          0.021          0.444
     
           42.247         92.000          1.000          0.011          0.435
     
           42.228         91.000          1.000          0.011          0.430
     
           42.223         88.000          1.000          0.011          0.425
     
           42.221         87.000          1.000          0.011          0.420
     
           42.217         86.000          1.000          0.012          0.416
     
           42.198         82.000          1.000          0.012          0.411
     
           42.197         81.000          1.000          0.012          0.406
     
           42.159         77.000          1.000          0.013          0.401
     
           42.157         76.000          1.000          0.013          0.395
     
           42.148         73.000          1.000          0.014          0.390
     
           42.148         72.000          1.000          0.014          0.385
     
           42.135         69.000          1.000          0.014          0.380
     
           42.128         68.000          1.000          0.015          0.374
     
           42.124         67.000          1.000          0.015          0.369
     
           42.117         65.000          1.000          0.015          0.363
     
           42.114         63.000          1.000          0.016          0.357
     
           42.111         62.000          1.000          0.016          0.352
     
           42.099         60.000          1.000          0.017          0.346
     
           42.090         59.000          1.000          0.017          0.340
     
           42.083         56.000          1.000          0.018          0.335
     
           42.075         55.000          1.000          0.018          0.329
     
           42.059         54.000          1.000          0.019          0.323
     
           42.052         53.000          1.000          0.019          0.317
     
           42.027         50.000          1.000          0.020          0.311
     
           41.991         48.000          1.000          0.021          0.304
     
           41.977         47.000          1.000          0.021          0.298
     
           41.969         46.000          1.000          0.022          0.292
     
           41.962         45.000          1.000          0.022          0.285
     
           41.962         44.000          1.000          0.023          0.279
     
           41.940         41.000          1.000          0.024          0.273
     
           41.929         40.000          1.000          0.025          0.266
     
           41.927         38.000          1.000          0.026          0.259
     
           41.919         37.000          1.000          0.027          0.253
     
           41.911         36.000          1.000          0.028          0.246
     
           41.889         35.000          1.000          0.029          0.239
     
           41.842         33.000          1.000          0.030          0.232
     
           41.842         32.000          1.000          0.031          0.225
     
           41.819         29.000          1.000          0.034          0.218
     
           41.812         28.000          1.000          0.036          0.211
     
           41.811         27.000          1.000          0.037          0.203
     
           41.731         25.000          1.000          0.040          0.196
     
           41.730         24.000          1.000          0.042          0.188
     
           41.689         23.000          1.000          0.043          0.180
     
           41.639         20.000          1.000          0.050          0.172
     
           41.638         19.000          1.000          0.053          0.163
     
           41.513         16.000          1.000          0.062          0.155
     
           41.477         13.000          1.000          0.077          0.145
     
           41.365         10.000          1.000          0.100          0.134
     
           41.358          9.000          1.000          0.111          0.121
     
           41.348          8.000          1.000          0.125          0.107
     
           40.751          1.000          1.000          1.000          0.094
                                                                        0.000
     
     
        GEHAN`S GENERALIZED WILCOXON TEST -- PERMUTATION VARIANCE
     
          WW =   2683.00
          VAR=1903752.568
     


                 T(I)       ID1(I)    ID2(I)   R1(I)    R2(I)
              43.712         1         1       0.0       1.0
              43.537         0         1    -304.0     305.0
              43.454         0         2    -302.0     304.0
              43.337         0         2    -300.0     303.0
              43.316         1         1       3.0       1.0
