   42.4477 0    43.6668 1    37934.1 1
    42.014 0    44.0872 1    16119.5 1
    42.339 0    44.1516 1    26551.4 1
   42.2854 0    43.7853 1      32794 1
   42.1784 1    43.7473 1    44354.6 1
   41.6225 1    43.0808 1     6561.4 1
   42.4284 0    44.0567 1    39735.6 1
   41.3744 0    42.9456 1    4805.95 1
   41.9504 0    44.2393 1    23745.8 1
   42.6017 0    43.8913 1      22147 1
   42.3583 0    44.2626 1    43471.9 1
   42.3861 0    43.6813 1    32797.3 1
    42.588 1    43.8299 1      16328 1
    42.275 0    43.9516 1    43090.3 1
   42.1788 0    43.6885 1    26761.2 1
   42.5378 0    43.9076 1    35085.4 1
   42.5693 0    43.5154 1      29586 1
    42.345 0    43.6692 1    29930.4 1
   42.2399 0    43.7387 1    26551.4 1
   41.7781 1    43.5122 1    10886.8 1
   41.9713 0    44.1266 1    20930.4 1
   42.0354 1    43.8062 1    25163.2 1
   42.0147 1    43.4346 1    14626.4 1
   41.5941 0    43.0778 1      10081 1
   42.3409 0     43.994 1    34109.2 1
   41.0337 0    42.7776 1    2789.95 1
    41.984 0    43.3341 1    10458.6 1
   42.3629 0    44.0879 1    42521.1 1
   42.2757 0    43.7158 1    27593.9 1
   42.3916 1     44.166 1    39022.3 1
   42.1906 0    43.6556 1    27128.1 1
   42.2575 0    44.0056 1    18474.2 1
   42.3298 0    44.0003 1    34463.5 1
   41.4576 1    42.7367 1    1959.21 1
   41.9793 0    43.7522 1    31197.1 1
   42.0877 0    43.8262 1    26727.1 1
   41.9019 0    43.3008 1    12525.7 1
   42.6456 1    43.7137 1    41054.6 1
    41.936 0    43.1467 1    4311.09 1
   42.8211 1    44.3765 1    21009.9 1
   42.0994 1    43.6073 1    28837.3 1
   41.8759 0    43.9462 1    17245.3 1
   42.1978 0    44.2386 1    20624.5 1
   42.2506 0    43.9012 1    32539.2 1
   41.7206 0    43.5295 1    9561.92 1
   41.9661 0    43.3851 1      11114 1
   41.5838 0     43.297 1    8425.93 1
   41.6449 1    42.3275 1    12.7449 1
   41.9137 0    43.5153 1    13999.8 1
   41.4942 0    43.1563 1    8654.77 1
   41.9432 0    43.2968 1    14872.5 1
   42.0921 0    43.4056 1    20995.6 1
   41.7475 0    43.1325 1    12508.8 1
   42.1097 0    43.7787 1    37934.1 1
   42.2348 1    43.7646 1    42143.9 1
   41.8986 0    43.4718 1    10881.2 1
   41.9249 0     43.747 1    16565.5 1
   41.7288 0    43.4007 1    11714.9 1
   42.2954 1    43.9227 1    44711.1 1
   41.8653 1    42.2903 1        484 1
    41.872 0    43.3366 1    14590.8 1
   42.0448 0    43.1983 1    6177.67 1
   41.3017 0    43.6474 1    3304.38 1
    42.319 0    44.0331 1    32009.8 1
   41.7918 0    42.7212 1    1555.36 1
   42.1157 1    43.1698 1    5452.24 1
   42.4612 0    44.2414 1    26712.4 1
   42.3741 1    43.9531 1      45892 1
   42.6128 1    43.6345 1    45583.4 1
   42.2515 0    44.1595 1      40653 1
   42.7008 0    43.9122 1    31967.6 1
   42.0055 1    43.1233 1    12495.9 1
   42.5917 0    43.9646 1      21703 1
   42.3233 1    43.9999 1    12129.6 1
   42.0662 1    43.2254 1     4230.9 1
   41.3497 1    43.2337 1    2895.58 1
   42.0799 0    43.5728 1    15504.5 1
   41.0602 1     42.815 1     2880.1 1
   42.0137 1    43.4061 1    11860.7 1
   41.5785 0    43.2644 1    4990.86 1
   42.0563 0    43.4464 1    9548.06 1
   42.1192 1    42.9415 1    10856.2 1
   41.7053 0    43.0579 1    10522.2 1
   42.0863 0    43.7225 1    11763.1 1
   41.3493 0     42.731 1    3072.53 1
   42.2136 0    44.1285 1    11931.5 1
   41.7475 1     43.341 1    12869.9 1
   42.3112 0    43.6959 1    22736.8 1
     42.37 0    43.6584 1    9513.47 1
   42.2097 0    43.3383 1    13353.4 1
   41.5634 0    43.3221 1    3932.11 1
   42.4009 1    43.6009 1    13195.3 1
    42.336 0    43.7549 1    34597.2 1
   41.8401 0    43.3906 1    14738.9 1
   41.6925 1    43.0929 1    4987.14 1
   42.2166 0    43.6821 1      23718 1
   42.2916 0     43.823 1    19185.9 1
   41.8258 1    43.1111 1    7580.47 1
   41.8184 0    43.2616 1    3768.07 1
   42.2945 0    44.4122 1    43502.5 1
   42.0754 0    43.7269 1      13800 1
   42.0667 1    42.6608 1    2668.71 1
   41.7643 1    43.0975 1    5404.96 1
   41.2715 1    42.1911 1     650.25 1
   42.3477 1    43.3869 1    16381.7 1
   42.3103 0     43.852 1    37999.9 1
   41.5996 0    43.4393 1    5379.15 1
   41.7869 1    43.3209 1    2403.58 1
   42.1802 0    42.9601 1    3673.06 1
   42.3365 0     43.548 1    26520.5 1
   42.0267 0    43.6167 1    22682.5 1
   41.9777 1    43.3912 1    16282.3 1
   42.1211 0     43.853 1    28290.4 1
   42.0167 0    43.8163 1    6025.72 1
   42.5583 0    44.0172 1    47387.1 1
    41.945 0    44.2155 1    20996.9 1
   42.2248 0    43.8388 1    22999.9 1
   42.2191 0    43.7159 1    28138.2 1
   41.7657 0    43.3892 1    9864.99 1
   42.1068 1    43.6501 1    35801.2 1
   42.1708 1    43.6524 1    24955.8 1
   42.3328 0    44.4686 1    47788.5 1
   42.2644 0    44.1102 1    26074.6 1
     42.15 0    43.7647 1      19789 1
   41.8997 0    43.9355 1    14967.4 1
   41.5911 1    41.1843 1    57.9121 1
   42.5104 1    43.1847 1    5569.04 1
   41.3454 0    42.6742 1    3075.43 1
   41.3926 0    43.2484 1    4747.73 1
   41.8714 1    43.5527 1    7293.53 1
   41.6485 0    43.0502 1     6683.3 1
   42.1811 1    43.2124 1    13195.3 1
   42.2097 1    43.5844 1    9789.42 1
   41.6567 0    42.8585 1    6722.26 1
   41.6394 0    43.2185 1       5281 1
    42.171 0    43.6356 1    20464.7 1
   42.4936 1    43.7662 1    25605.2 1
   42.6303 0    43.4031 1    15504.5 1
   42.3154 0    43.9925 1    41581.5 1
   41.6613 1     43.275 1    5147.16 1
    40.976 0    43.5089 1    1338.22 1
    40.867 0    42.9277 1    1114.61 1
   42.0577 0    43.3923 1    17139.6 1
   42.0805 0    43.2339 1    10737.2 1
   41.8758 0    43.3742 1      11883 1
   42.4958 0     43.621 1    22909.7 1
   41.9151 1    43.4388 1    16119.5 1
   42.1426 1    43.9845 1    20157.2 1
   42.4544 1    43.4693 1    25034.3 1
   41.7966 1     43.471 1    10063.2 1
   41.5855 1    42.9672 1    4627.59 1
   41.9099 1    43.3318 1    12779.1 1
   41.6763 0    43.3113 1    8619.42 1
   42.3688 1    44.1028 1    7940.66 1
   42.0036 0     43.733 1    25460.7 1
   42.5085 1    43.5273 1    21756.1 1
   42.5586 1    43.4645 1    16410.4 1
   42.3065 0    44.1442 1    35205.1 1
   41.2749 0    43.3476 1    3410.75 1
   41.6294 0    42.9914 1    7230.38 1
   42.1772 0    43.7609 1    25292.3 1
   41.3285 1     42.526 1    2293.79 1
   41.7132 1    43.4733 1    11163.7 1
   41.7727 0    42.9084 1    8364.36 1
   41.9226 0    43.6713 1    16781.6 1
    41.464 1    43.7627 1    3422.25 1
   41.8542 0    43.4472 1    12682.6 1
   41.1691 0    43.1739 1    4145.84 1
   41.4048 1    42.9583 1    5693.09 1
   42.1177 0    43.9052 1    20680.1 1
   41.7066 0    43.4518 1    10437.7 1
   41.8643 1    44.4214 1    22859.3 1
   42.3497 1    43.4254 1    13291.6 1
   42.0034 0      43.26 1    13912.3 1
   41.5151 0    43.6864 1    6681.14 1
   42.5095 1     43.718 1      24459 1
   42.2457 0    43.5932 1    36293.1 1
   42.0085 0    43.8134 1    16386.3 1
   42.1076 0    43.6067 1    24593.3 1
   42.3052 1    43.4287 1    16944.4 1
   41.4428 1    42.9108 1    3127.49 1
   42.0676 1    43.7179 1    9341.46 1
   42.0329 1    43.7719 1    19033.3 1
   42.0106 0    44.0406 1    25706.5 1
   41.7573 1    43.3126 1    12228.7 1
   42.3613 0    44.7716 1    43204.6 1
   42.5122 1    43.9838 1    48665.8 1
   40.6143 0    42.1246 1     376.36 1
   41.5917 1    42.9425 1    3924.98 1
   41.6486 0    43.1819 1    3462.01 1
   42.5501 1    42.3965 1        324 1
   41.3373 1    43.6858 1    1267.36 1
