   42.5084 1    42.5753 0    37934.1 1
     42.93 1    42.6683 0    16119.5 1
   43.3535 0    42.9703 0    26551.4 1
   43.0426 1    42.5436 1    23602.8 1
   41.7749 1    41.6403 0    4805.95 1
   43.1701 0    42.8672 0      22147 1
   42.6941 0    42.5534 0    43090.3 1
   42.3515 1    42.2159 0    26761.2 1
   42.5333 1    42.7976 0      29586 1
   42.9078 1    42.3295 0    26551.4 1
   42.6111 1     42.114 1    20930.4 1
   43.1654 1    42.6456 1    14626.4 1
   42.1852 1    41.6413 1      10081 1
    42.936 1    42.4845 1    34109.2 1
   41.5556 0    41.4016 0    2789.95 1
   41.9534 0    41.9138 0    10458.6 1
   42.6221 0    42.5384 0    42521.1 1
   43.5363 1    42.9834 1    39022.3 1
   42.6183 0    42.5179 0    18474.2 1
   42.9862 1    42.5623 0    34463.5 1
   42.7293 1    42.1494 1    1959.21 1
   42.9917 1    42.4726 1    31197.1 1
   43.0147 1    42.6755 1    26727.1 1
   43.0056 1    42.7783 1    41054.6 1
   43.2839 1    43.0039 1    21009.9 1
   42.9925 1    42.5069 1    28837.3 1
   42.2633 0    42.1969 0    17245.3 1
   43.2547 1    42.8062 1    20624.5 1
   42.8326 1    42.4803 1    32539.2 1
   41.9037 1    41.9778 0      11114 1
    41.876 0    41.6625 0    8425.93 1
   42.4487 1    41.9927 1    8654.77 1
   42.5033 1    42.0891 1    14872.5 1
   42.5109 1    42.0487 1    11714.9 1
   43.0595 1    42.8102 0    44711.1 1
   42.6618 1    42.2353 1    14590.8 1
   43.3834 1    42.9122 1    26712.4 1
   42.5205 1    42.1561 0      40653 1
   43.7585 1    43.2725 1    31967.6 1
   43.2467 1    42.6989 1     4230.9 1
   42.5088 1    41.9512 1    2895.58 1
   43.1633 1    42.6932 1    11860.7 1
   43.1864 1    42.6903 1    11763.1 1
   42.3245 1    41.8285 1    3072.53 1
   42.8042 1    42.2986 1    12869.9 1
   43.4452 1    42.9827 1    9513.47 1
   42.6685 1     42.105 1    3932.11 1
   43.2899 1     42.786 1      23718 1
   43.2311 1    42.7466 1    19185.9 1
   42.7642 1    42.3362 1    3768.07 1
   43.0982 1     42.645 1    43502.5 1
   43.1563 1    42.6564 1      13800 1
   43.5316 1    42.9701 1    16381.7 1
    42.726 1    42.4781 0    37999.9 1
   42.5318 1    41.9271 1    4844.97 1
   42.2597 1    42.3201 0    22682.5 1
   42.8261 1    42.2884 1    28290.4 1
   43.0859 0    42.5115 0    6025.72 1
    42.806 1    42.7886 0    47387.1 1
    42.904 1    42.4499 1    20996.9 1
   42.5625 1    42.0523 1    22999.9 1
   42.5352 1     42.337 0    28138.2 1
   41.9982 1    41.5204 1    9864.99 1
   42.8714 1    42.4333 1    35801.2 1
   43.2525 1    42.7537 1    24955.8 1
   42.7084 0    42.4635 0    47788.5 1
    41.864 0    41.4984 0    4747.73 1
   42.9128 1    42.5225 0    20464.7 1
   43.5003 1    43.0068 1    25605.2 1
   43.2312 0    43.1108 0    15504.5 1
   43.0606 1    42.6731 1    41581.5 1
   41.5737 1    40.9927 1    1114.61 1
   42.7884 1    42.4385 1    16119.5 1
   43.0888 1     42.641 1    20157.2 1
   43.6119 1    43.1198 1    25034.3 1
   43.4615 1    42.9808 1    7940.66 1
   43.5253 1    43.0943 1    16410.4 1
   42.9828 1    42.6456 1    35205.1 1
   42.2046 1    41.7176 1    7230.38 1
   43.3035 1    42.7975 1    25292.3 1
   42.1723 1    42.0844 0    8364.36 1
   42.9429 1    42.3819 1    17811.2 1
   42.0774 1    42.1637 0    16781.6 1
   42.0935 1    41.9432 0    12682.6 1
    41.879 1    41.5229 0    4145.84 1
   42.6022 1    42.0383 1    5693.09 1
   42.9947 1    42.4096 1      27633 1
   41.9747 1    41.8799 0    10437.7 1
   43.1123 1    42.5655 1    22859.3 1
   43.4502 1    42.9436 1    13291.6 1
    42.772 1    42.3087 0    13912.3 1
   42.7701 1    42.2114 1    6681.14 1
   43.6248 1    43.1307 1      24459 1
   42.4618 1    42.1315 0    16386.3 1
   43.3903 1    42.9032 1    16944.4 1
   42.6069 1    42.0473 1    3127.49 1
   43.2468 1    42.7888 1    9341.46 1
   43.1871 1    42.6795 1    19033.3 1
   42.3523 1    42.2112 0    25706.5 1
    42.905 1    42.3763 1    12228.7 1
   43.3058 1    42.7525 1    43204.6 1
    43.512 1    43.0596 1    48665.8 1
   43.1102 1    42.5853 1    9375.73 1
   43.0068 1    42.5575 1    13219.8 1
   43.0484 1    42.5252 1     696.96 1
   41.9218 1    41.3004 1    1513.21 1
   42.7862 1    42.2577 1    1482.25 1
    42.961 1     42.464 1     292.41 1
   41.8714 1    41.3669 1     125.44 1
   42.0035 1    41.4961 1     992.25 1
   42.5725 1    42.1084 1    2584.67 1
   43.4935 1     42.969 1    10143.5 1
   42.8049 1    42.2921 1    4014.91 1
   42.2842 1    42.0452 0    6887.32 1
   42.8111 1    42.2634 1    5554.62 1
   42.9531 1    42.4723 1        484 1
    42.969 1    42.4933 1    4157.13 1
   42.2964 1    41.7702 1     210.25 1
   43.9127 1    43.3641 1       5007 1
   43.4785 1    42.9676 1    16720.2 1
   43.4521 1    42.9767 1    5217.35 1
   43.6977 1    43.2606 1    36425.4 1
   42.6144 0    42.4716 0    34463.5 1
   43.2211 1    43.1786 1    23769.4 1
   42.3332 1    41.9835 1    17158.4 1
     42.63 0    42.6355 0    44588.9 1
   42.9876 1    42.5018 1    3049.82 1
    42.431 1    41.9294 1    5519.95 1
   42.0952 1    42.2171 0    20607.7 1
   41.7205 0    41.6385 0    4593.64 1
