   42.5084 1    42.4477 0    37934.1 1
     42.93 1     42.014 0    16119.5 1
   43.3535 0     42.339 0    26551.4 1
   41.7749 1    41.3744 0    4805.95 1
   43.1701 0    42.6017 0      22147 1
   42.6941 0     42.275 0    43090.3 1
   42.3515 1    42.1788 0    26761.2 1
   42.5333 1    42.5693 0      29586 1
   42.9078 1    42.2399 0    26551.4 1
   42.6111 1    41.9713 0    20930.4 1
   43.1654 1    42.0147 1    14626.4 1
   42.1852 1    41.5941 0      10081 1
    42.936 1    42.3409 0    34109.2 1
   41.5556 0    41.0337 0    2789.95 1
   41.9534 0     41.984 0    10458.6 1
   42.6221 0    42.3629 0    42521.1 1
   43.5363 1    42.3916 1    39022.3 1
   42.6183 0    42.2575 0    18474.2 1
   42.9862 1    42.3298 0    34463.5 1
   42.7293 1    41.4576 1    1959.21 1
   42.9917 1    41.9793 0    31197.1 1
   43.0147 1    42.0877 0    26727.1 1
   43.0056 1    42.6456 1    41054.6 1
   43.2839 1    42.8211 1    21009.9 1
   42.9925 1    42.0994 1    28837.3 1
   42.2633 0    41.8759 0    17245.3 1
   43.2547 1    42.1978 0    20624.5 1
   42.8326 1    42.2506 0    32539.2 1
   41.9037 1    41.9661 0      11114 1
    41.876 0    41.5838 0    8425.93 1
   42.4487 1    41.4942 0    8654.77 1
   42.5033 1    41.9432 0    14872.5 1
   42.5109 1    41.7288 0    11714.9 1
   43.0595 1    42.2954 1    44711.1 1
   42.6618 1     41.872 0    14590.8 1
   43.3834 1    42.4612 0    26712.4 1
   42.5205 1    42.2515 0      40653 1
   43.7585 1    42.7008 0    31967.6 1
   43.2467 1    42.0662 1     4230.9 1
   42.5088 1    41.3497 1    2895.58 1
   43.1633 1    42.0137 1    11860.7 1
   43.1864 1    42.0863 0    11763.1 1
   42.3245 1    41.3493 0    3072.53 1
   42.8042 1    41.7475 1    12869.9 1
   43.4452 1      42.37 0    9513.47 1
   42.6685 1    41.5634 0    3932.11 1
   43.2899 1    42.2166 0      23718 1
   43.2311 1    42.2916 0    19185.9 1
   42.7642 1    41.8184 0    3768.07 1
   43.0982 1    42.2945 0    43502.5 1
   43.1563 1    42.0754 0      13800 1
   43.5316 1    42.3477 1    16381.7 1
    42.726 1    42.3103 0    37999.9 1
   42.2597 1    42.0267 0    22682.5 1
   42.8261 1    42.1211 0    28290.4 1
   43.0859 0    42.0167 0    6025.72 1
    42.806 1    42.5583 0    47387.1 1
    42.904 1     41.945 0    20996.9 1
   42.5625 1    42.2248 0    22999.9 1
   42.5352 1    42.2191 0    28138.2 1
   41.9982 1    41.7657 0    9864.99 1
   42.8714 1    42.1068 1    35801.2 1
   43.2525 1    42.1708 1    24955.8 1
   42.7084 0    42.3328 0    47788.5 1
    41.864 0    41.3926 0    4747.73 1
   42.9128 1     42.171 0    20464.7 1
   43.5003 1    42.4936 1    25605.2 1
   43.2312 0    42.6303 0    15504.5 1
   43.0606 1    42.3154 0    41581.5 1
   41.5737 1     40.867 0    1114.61 1
   42.7884 1    41.9151 1    16119.5 1
   43.0888 1    42.1426 1    20157.2 1
   43.6119 1    42.4544 1    25034.3 1
   43.4615 1    42.3688 1    7940.66 1
   43.5253 1    42.5586 1    16410.4 1
   42.9828 1    42.3065 0    35205.1 1
   42.2046 1    41.6294 0    7230.38 1
   43.3035 1    42.1772 0    25292.3 1
   42.1723 1    41.7727 0    8364.36 1
   42.0774 1    41.9226 0    16781.6 1
   42.0935 1    41.8542 0    12682.6 1
    41.879 1    41.1691 0    4145.84 1
   42.6022 1    41.4048 1    5693.09 1
   41.9747 1    41.7066 0    10437.7 1
   43.1123 1    41.8643 1    22859.3 1
   43.4502 1    42.3497 1    13291.6 1
    42.772 1    42.0034 0    13912.3 1
   42.7701 1    41.5151 0    6681.14 1
   43.6248 1    42.5095 1      24459 1
   42.4618 1    42.0085 0    16386.3 1
   43.3903 1    42.3052 1    16944.4 1
   42.6069 1    41.4428 1    3127.49 1
   43.2468 1    42.0676 1    9341.46 1
   43.1871 1    42.0329 1    19033.3 1
   42.3523 1    42.0106 0    25706.5 1
    42.905 1    41.7573 1    12228.7 1
   43.3058 1    42.3613 0    43204.6 1
    43.512 1    42.5122 1    48665.8 1
   43.1102 1    41.9296 0    9375.73 1
   43.0068 1    42.0625 0    13219.8 1
   43.0484 1    41.8853 1     696.96 1
   41.9218 1    40.9666 0    1513.21 1
   42.7862 1     41.632 1    1482.25 1
    42.961 1     41.849 1     292.41 1
   41.8714 1    40.7333 1     125.44 1
   42.0035 1    40.8965 1     992.25 1
   42.5725 1    41.5165 1    2584.67 1
   43.4935 1    42.3446 1    10143.5 1
   42.8049 1    41.5995 1    4014.91 1
   42.2842 1    41.5807 0    6887.32 1
   42.8111 1    41.5529 0    5554.62 1
   42.9531 1     41.928 1        484 1
    42.969 1    41.8795 1    4157.13 1
   42.2964 1    41.1012 1     210.25 1
   43.4785 1    42.4234 1    16720.2 1
   43.4521 1    42.4103 1    5217.35 1
   43.6977 1    42.6834 1    36425.4 1
   42.6144 0    42.4475 0    34463.5 1
   43.2211 1    43.1224 1    23769.4 1
   42.3332 1    42.0314 0    17158.4 1
     42.63 0    42.3398 0    44588.9 1
   42.9876 1    41.9118 1    3049.82 1
    42.431 1    41.3057 0    5519.95 1
   42.0952 1      42.16 0    20607.7 1
   41.7205 0    41.4351 0    4593.64 1
