   42.2333 1    42.2854 0      32794 1
   43.2369 1    42.1784 1    44354.6 1
   42.5678 1    41.6225 1     6561.4 1
   43.0483 1    42.4284 0    39735.6 1
   42.5706 1    41.9504 0    23745.8 1
   42.7137 0    42.3583 0    43471.9 1
    42.659 1    42.3861 0    32797.3 1
   43.6889 1     42.588 1      16328 1
   42.2128 1    42.5378 0    35085.4 1
   42.6821 0     42.345 0    29930.4 1
   42.9292 1    41.7781 1    10886.8 1
    43.185 1    42.0354 1    25163.2 1
   42.3445 1    42.2757 0    27593.9 1
   42.2237 0    42.1906 0    27128.1 1
   42.5014 1    41.9019 0    12525.7 1
    42.639 1     41.936 0    4311.09 1
   42.5435 1    41.7206 0    9561.92 1
   42.7427 1    41.6449 1    12.7449 1
   42.6559 1    41.9137 0    13999.8 1
   42.8499 1    42.0921 0    20995.6 1
   42.2276 1    41.7475 0    12508.8 1
   43.2618 1    42.1097 0    37934.1 1
   43.3149 1    42.2348 1    42143.9 1
   42.5172 0    41.8986 0    10881.2 1
   42.8412 1    41.9249 0    16565.5 1
   42.9198 1    41.8653 1        484 1
   42.5486 1    42.0448 0    6177.67 1
   41.8779 1    41.3017 0    3304.38 1
   42.9259 1     42.319 0    32009.8 1
   42.8858 1    41.7918 0    1555.36 1
   43.2586 1    42.1157 1    5452.24 1
   43.4377 1    42.3741 1      45892 1
   43.6941 1    42.6128 1    45583.4 1
   43.2702 1    42.0055 1    12495.9 1
   43.5098 0    42.5917 0      21703 1
   43.3751 1    42.3233 1    12129.6 1
   42.9511 1    42.0799 0    15504.5 1
    42.019 1    41.0602 1     2880.1 1
   41.5005 1    41.5785 0    4990.86 1
   42.8798 1    42.0563 0    9548.06 1
   43.2752 1    42.1192 1    10856.2 1
   43.2877 1    42.2136 0    11931.5 1
   43.3973 1    42.3112 0    22736.8 1
   43.1023 1    42.2097 0    13353.4 1
   43.4877 1    42.4009 1    13195.3 1
   43.2004 1     42.336 0    34597.2 1
   42.2171 0    41.8401 0    14738.9 1
   42.8695 1    41.6925 1    4987.14 1
   42.9785 1    41.8258 1    7580.47 1
   43.0667 1    42.0667 1    2668.71 1
   42.9115 1    41.7643 1    5404.96 1
   42.3131 1    41.2715 1     650.25 1
   42.6832 1    41.5996 0    5379.15 1
   42.8826 1    41.7869 1    2403.58 1
   42.5685 1    42.1802 0    3673.06 1
   43.1502 1    42.3365 0    26520.5 1
   43.1318 1    41.9777 1    16282.3 1
   43.1507 1    42.2644 0    26074.6 1
   42.7143 1      42.15 0      19789 1
   42.9638 1    41.8997 0    14967.4 1
   42.6479 1    41.5911 1    57.9121 1
   43.5156 1    42.5104 1    5569.04 1
   42.0452 1    41.3454 0    3075.43 1
