   43.5353 1    43.1048 1    37934.1 1
   43.4675 1    43.4545 1    16119.5 1
    43.884 1    43.6688 1    26551.4 1
   42.8685 1    42.9295 0    31168.3 1
   42.7364 0    42.6102 0    7564.34 1
   42.1202 1    41.9531 1     213.15 1
   43.6773 1    43.0859 1    41581.5 1
   43.8695 1    43.7136 1    23602.8 1
   43.3735 1    43.0493 0    25098.7 1
   42.3178 1    42.2966 0    4805.95 1
   43.4468 1    42.9966 0      22147 1
   43.2441 0     43.037 0    43090.3 1
   43.1501 1    43.7291 0    29742.3 1
   43.3967 1    42.8935 0    26761.2 1
   43.1164 1    43.1245 0      29586 1
   43.5851 1    43.2082 1    26551.4 1
    43.526 1    43.2035 1    20930.4 1
   44.0545 1    43.8084 1    14626.4 1
   43.2573 1    42.8117 1      10081 1
   43.3643 1    43.1814 1    34109.2 1
   42.0366 0    41.6959 0    2789.95 1
   42.3648 0    42.4979 0    10458.6 1
   43.4564 0    43.0924 0    42521.1 1
   44.5688 1      44.14 1    39022.3 1
   42.9618 1    42.7523 0    18474.2 1
   43.7919 1     43.441 1    34463.5 1
    43.558 1      43.34 1    1959.21 1
   43.0969 1    43.1707 1    31197.1 1
   44.0857 1    43.6218 1    26727.1 1
   43.3267 1     42.839 1    13425.5 1
   43.5016 1    43.3027 1    11908.2 1
   43.4541 1    43.3584 1    41054.6 1
   43.8029 1    43.7444 1    46391.5 1
   44.1697 1    43.8533 1    21009.9 1
   43.5126 1    42.0367 0    3103.11 1
   43.4923 1    43.4576 1    28837.3 1
   42.8453 1    42.5017 0    17245.3 1
   43.8612 1    43.7368 1    20624.5 1
   43.1323 1    43.1151 0    32539.2 1
   42.7692 1    42.5203 0      11114 1
   42.3223 0    42.1237 0    8425.93 1
   43.3041 1    43.0812 0    8678.65 1
   43.4618 1    43.0467 1    8654.77 1
   43.0528 1    42.9563 1    14872.5 1
   43.4094 1    43.0429 1    11714.9 1
   43.5215 1    43.2513 0    44711.1 1
   42.7147 1    42.9294 0    14590.8 1
   43.9252 1    43.8961 1    26712.4 1
   43.3439 1    43.0015 0      40653 1
   44.2324 1    44.1743 1    31967.6 1
   44.1837 1    43.8554 1     4230.9 1
    43.327 1    43.0979 1    2895.58 1
   43.5789 1    43.5849 1    11860.7 1
   44.0772 1     43.628 1    11763.1 1
   42.9308 1    42.8129 1    3072.53 1
   43.4655 1     43.326 1    12869.9 1
   43.5389 1     43.636 1    9513.47 1
   43.2881 1    43.2854 1    3932.11 1
   43.5886 1    43.7267 1      23718 1
   44.0802 1    43.7834 1    19185.9 1
   43.5953 1    43.1721 1    3768.07 1
   44.0753 1    43.7763 1    43502.5 1
   44.0212 1      43.49 1    37934.1 1
   43.8462 1    43.6632 1      13800 1
   44.3364 1    44.1884 1    16381.7 1
