    42.604 1    42.2633 1    2690.38 1
    43.403 1    42.8559 0      32794 1
    44.049 1    43.8535 1    44354.6 1
   43.7197 1    43.4365 1    25808.1 1
   43.4405 1    43.2216 1     6561.4 1
   44.0696 1    43.6518 1    39735.6 1
   43.1736 1     43.109 1    2369.52 1
   43.3386 1    42.8798 1    23745.8 1
   43.2894 1    42.7132 0    43471.9 1
   43.6406 1    42.9683 1    32797.3 1
   43.9772 1    43.4166 0    16581.6 1
   44.2879 1    44.2591 1      16328 1
   43.2958 1    43.1101 0    35085.4 1
   43.0581 0    42.9014 0    29930.4 1
   43.8281 1    43.5373 1    10886.8 1
     43.83 1    43.7153 1    25163.2 1
    42.858 0    42.4386 0    15004.6 1
   42.9548 1    42.9639 0    27593.9 1
   43.3894 1    42.7737 1    27128.1 1
   43.1061 1    42.9966 1    12525.7 1
   42.8704 0     42.728 0    3888.31 1
   43.5336 1    43.3012 1    4311.09 1
   43.2537 1    43.0294 1    9561.92 1
   43.4192 1    43.3225 1    12.7449 1
   42.5743 1    42.6669 0    13999.8 1
   43.0406 1    43.1306 1    20995.6 1
   42.6624 1    42.7262 1    12508.8 1
   43.8281 1    43.8122 1    37934.1 1
    44.391 1    43.9577 1    42143.9 1
   42.5198 1    42.5755 1    10881.2 1
   43.7417 1    43.4062 1    16565.5 1
   43.8387 1    43.4898 1       5773 1
   43.2777 1    43.3834 1        484 1
   43.3452 1    42.9811 1    6177.67 1
   43.4689 1    42.6127 1    3304.38 1
   43.0887 0    43.2242 0    32009.8 1
    43.349 1    43.3377 1    1555.36 1
   43.0645 1    43.5207 1    5452.24 1
    43.195 1    43.6909 1    37102.6 1
   43.9863 1    43.9298 1      45892 1
   44.2371 1    44.2044 1    45583.4 1
   43.9617 1    43.7927 1    12495.9 1
   43.2647 1    42.9813 0      21703 1
   43.6281 1    43.7003 1    12129.6 1
   43.3563 1    43.2427 1    15504.5 1
   42.9863 1    42.6884 1     2880.1 1
   42.7969 1    42.2031 1    4990.86 1
   42.9844 1    43.1317 1    9548.06 1
    43.525 1    43.5598 1    10856.2 1
   43.5113 1    43.5148 1    11931.5 1
   44.0137 1    43.9279 1    22736.8 1
   42.8493 1    43.3867 1    13353.4 1
   44.3914 1    44.1827 1    13195.3 1
   43.1618 1    43.5656 1    34597.2 1
   42.9658 1    42.5789 0    14738.9 1
   43.8926 1    43.5312 1    4987.14 1
   43.5685 1    43.3944 1    9024.14 1
   44.1117 1    43.6393 1    7580.47 1
   43.5991 1     43.375 1    2668.71 1
   43.6948 1    43.5292 1    5404.96 1
   42.6844 1    42.6763 1     650.25 1
   44.1245 1    43.7486 1    4972.27 1
   43.2142 1    43.0574 1    5379.15 1
    43.722 1    43.2897 1    2403.58 1
    43.334 1    43.1177 1    3673.06 1
   43.7136 1     43.684 1    26520.5 1
   43.9881 1    43.6799 1    16282.3 1
   44.4791 1    44.0727 1    44872.4 1
   43.6992 1    43.5731 1    26074.6 1
   43.0807 1    43.1624 1      19789 1
   44.1765 1    43.6776 1    14967.4 1
   43.0287 1    43.1368 1    57.9121 1
   43.8377 1    43.8854 1    5569.04 1
    42.323 0    42.4044 1    3075.43 1
   43.3317 1     43.253 1    7293.53 1
   43.7115 1    43.4204 1     6683.3 1
   43.3116 1     43.537 1    13195.3 1
   44.0149 1    43.7276 1    9789.42 1
   42.4476 1    42.4712 0    6722.26 1
   42.9611 1    42.8077 1       5281 1
   44.1302 1    43.6008 1    5147.16 1
   43.0003 1    42.1572 1    1338.22 1
   43.4405 1    43.2461 1    17139.6 1
    44.321 1    44.0016 1    10737.2 1
   43.7571 1    43.4121 1      11883 1
   43.9244 1    43.9428 1    22909.7 1
   44.2566 1    43.9298 1    3620.23 1
   43.7828 1    43.4132 1    4627.59 1
   43.6936 1    43.7259 1    12779.1 1
   42.7982 1    43.0011 1    8619.42 1
   43.1688 1    43.2589 1    25460.7 1
   43.9878 1    43.9703 1    21756.1 1
   43.4229 1    42.8459 1    3410.75 1
   43.4807 1    43.0945 1    2293.79 1
   43.6862 1    43.4105 1    11163.7 1
   43.7396 1    43.2896 1    3422.25 1
   43.2463 1    42.9776 1    4242.31 1
   43.1488 1    42.7389 1    20680.1 1
   43.4037 1    43.5264 1    36293.1 1
   42.7601 1    42.5321 0    24593.3 1
    42.219 1    41.8301 1     376.36 1
   43.3512 1    43.1857 1    3924.98 1
   43.5676 1    43.0761 1    2228.76 1
   43.0519 1    42.5661 1    3462.01 1
   44.3459 1    44.1999 1        324 1
   43.5251 1    43.1733 1    1267.36 1
   42.7267 1     42.684 1     566.44 1
   43.6862 1     43.435 1     998.56 1
   43.2131 1    43.3698 1    3955.76 1
   44.3319 1    44.1669 1     665.64 1
   43.1593 1    42.9771 1    1056.25 1
   43.9042 1    43.5248 1    2124.36 1
   43.4158 1    43.3959 1    2925.72 1
   43.2962 1    43.3562 1    5784.37 1
   43.2557 1    43.0529 1       1600 1
   42.3054 1    42.3752 1     190.44 1
   43.4279 1     43.302 1     992.25 1
   43.2335 1     43.072 1     282.24 1
    43.769 1    43.4372 1     2601.1 1
   43.3008 1    43.4995 1    2005.71 1
   41.9878 1    42.2415 1        196 1
    43.046 1    43.1716 1    12041.6 1
   43.5273 1    43.5868 1     342.25 1
   44.0263 1    43.8279 1    7218.38 1
   43.5104 1    43.5534 1    8977.12 1
   43.2449 1    43.0507 1    10026.8 1
   42.0043 1    41.6351 1     272.25 1
   43.0072 1    43.1977 1     954.81 1
   43.2919 1    42.8438 1     470.89 1
   44.1749 1    43.8757 1     5368.2 1
   44.0444 1     44.021 1    11841.4 1
   43.4894 1    43.2783 1     615.04 1
   43.6954 1    43.7495 1    1892.25 1
   44.3986 1    44.1671 1    12097.3 1
    43.869 1    43.6597 1     243.36 1
   45.1936 1    44.7154 1    11409.1 1
    43.227 1    43.2324 1     171.61 1
   44.2488 1    43.8193 1    13401.8 1
   43.6257 1    43.5161 1    1149.21 1
   43.8644 1    43.7635 1     992.25 1
   44.0836 1    43.7838 1     349.69 1
   44.4021 1    44.0493 1    5531.06 1
   42.9652 1    42.6046 1    3465.61 1
   43.5135 1    43.5366 1    44821.8 1
   43.3831 1     42.912 0    48191.7 1
   43.6596 1    43.4837 1    5080.59 1
   43.4458 1    43.3307 1    4698.28 1
   43.8922 1    43.5581 1    8025.12 1
   44.0296 1    43.9177 1    11905.3 1
   44.2956 1    43.7116 1    25896.7 1
   43.6309 1    43.5263 1    16290.3 1
   43.9007 1    43.5397 1    33132.7 1
   43.7018 1    43.5716 1    15304.8 1
   43.5216 1    43.6538 1    5435.38 1
    43.133 1     43.143 1    5732.97 1
   44.5471 1    44.1315 1    33343.4 1
    42.939 1    43.0206 0    6108.67 1
