   43.1048 1    42.4477 0    37934.1 1
   43.4545 1     42.014 0    16119.5 1
   43.6688 1     42.339 0    26551.4 1
   42.8559 0    42.2854 0      32794 1
   43.8535 1    42.1784 1    44354.6 1
   43.2216 1    41.6225 1     6561.4 1
   43.6518 1    42.4284 0    39735.6 1
   42.2966 0    41.3744 0    4805.95 1
   42.8798 1    41.9504 0    23745.8 1
   42.9966 0    42.6017 0      22147 1
   42.7132 0    42.3583 0    43471.9 1
   42.9683 1    42.3861 0    32797.3 1
   44.2591 1     42.588 1      16328 1
    43.037 0     42.275 0    43090.3 1
   42.8935 0    42.1788 0    26761.2 1
   43.1101 0    42.5378 0    35085.4 1
   43.1245 0    42.5693 0      29586 1
   42.9014 0     42.345 0    29930.4 1
   43.2082 1    42.2399 0    26551.4 1
   43.5373 1    41.7781 1    10886.8 1
   43.2035 1    41.9713 0    20930.4 1
   43.7153 1    42.0354 1    25163.2 1
   43.8084 1    42.0147 1    14626.4 1
   42.8117 1    41.5941 0      10081 1
   43.1814 1    42.3409 0    34109.2 1
   41.6959 0    41.0337 0    2789.95 1
   42.4979 0     41.984 0    10458.6 1
   43.0924 0    42.3629 0    42521.1 1
   42.9639 0    42.2757 0    27593.9 1
     44.14 1    42.3916 1    39022.3 1
   42.7737 1    42.1906 0    27128.1 1
   42.7523 0    42.2575 0    18474.2 1
    43.441 1    42.3298 0    34463.5 1
     43.34 1    41.4576 1    1959.21 1
   43.1707 1    41.9793 0    31197.1 1
   43.6218 1    42.0877 0    26727.1 1
   42.9966 1    41.9019 0    12525.7 1
   43.3584 1    42.6456 1    41054.6 1
   43.3012 1     41.936 0    4311.09 1
   43.8533 1    42.8211 1    21009.9 1
   43.4576 1    42.0994 1    28837.3 1
   42.5017 0    41.8759 0    17245.3 1
   43.7368 1    42.1978 0    20624.5 1
   43.1151 0    42.2506 0    32539.2 1
   43.0294 1    41.7206 0    9561.92 1
   42.5203 0    41.9661 0      11114 1
   42.1237 0    41.5838 0    8425.93 1
   43.3225 1    41.6449 1    12.7449 1
   42.6669 0    41.9137 0    13999.8 1
   43.0467 1    41.4942 0    8654.77 1
   42.9563 1    41.9432 0    14872.5 1
   43.1306 1    42.0921 0    20995.6 1
   42.7262 1    41.7475 0    12508.8 1
   43.8122 1    42.1097 0    37934.1 1
   43.9577 1    42.2348 1    42143.9 1
   42.5755 1    41.8986 0    10881.2 1
   43.4062 1    41.9249 0    16565.5 1
   43.0429 1    41.7288 0    11714.9 1
   43.2513 0    42.2954 1    44711.1 1
   43.3834 1    41.8653 1        484 1
   42.9294 0     41.872 0    14590.8 1
   42.9811 1    42.0448 0    6177.67 1
