   42.6059 0     42.001 0    37934.1 1
   42.5179 0    42.1111 0    16119.5 1
   42.8116 0    42.2276 0    26551.4 1
   42.3406 0     42.429 0    31168.3 1
   42.4713 0    42.0496 0    7564.34 1
    41.168 0    40.7938 0     213.15 1
   41.9536 0    41.7447 0    2690.38 1
   42.4243 0    42.1866 0      32794 1
   42.8044 1    42.2048 0    44354.6 1
   42.9185 0     42.422 0    41581.5 1
   42.7056 1    42.2317 0    23602.8 1
   42.8183 0    42.2213 0    25808.1 1
   42.1496 0     41.551 0     6561.4 1
   42.1854 0    42.3559 0    25098.7 1
   42.6495 0    42.2824 0    39735.6 1
   42.3564 0    42.2541 0    2369.52 1
   41.3447 0    41.3185 0    4805.95 1
   42.6047 0    42.0145 0    23745.8 1
   42.5477 1    42.0667 1      22147 1
   42.4509 0    42.3465 0    43471.9 1
   42.4858 0    42.2136 0    32797.3 1
   42.7713 0    42.4174 0    16581.6 1
   43.1827 1    42.5676 1      16328 1
   42.4709 0      42.19 0    43090.3 1
   43.7116 0     43.333 0    29742.3 1
   42.0256 0    41.9273 0    26761.2 1
   42.2722 0    42.3613 0    35085.4 1
   42.2761 0    42.2195 0      29586 1
   42.3516 0    42.1735 0    29930.4 1
   42.3515 0    42.1023 0    26551.4 1
   42.3472 1    41.7422 1    10886.8 1
   42.2575 1    41.7869 0    20930.4 1
   42.5996 1    42.0201 1    25163.2 1
   42.7244 1    42.0532 1    14626.4 1
   41.6383 1    41.5661 0      10081 1
   42.5375 0    42.2586 0    15004.6 1
   42.4711 1    42.2446 0    34109.2 1
   41.4026 0    41.0137 0    2789.95 1
   41.6671 0    41.8219 0    10458.6 1
   42.3534 0    42.2447 0    42521.1 1
   42.1558 0    42.1444 0    27593.9 1
   42.9607 1    42.3523 1    39022.3 1
   42.3555 0    42.0247 0    27128.1 1
   42.3391 0    42.1043 0    18474.2 1
   42.4658 1    42.0519 0    34463.5 1
    42.148 1    41.4804 1    1959.21 1
   42.4388 0     42.221 0    31197.1 1
   42.6875 1    42.0814 0    26727.1 1
    42.124 0    41.8801 0    12525.7 1
   43.0536 0    42.6014 0    3888.31 1
   42.2869 0    41.8659 0    13425.5 1
   42.3192 1    42.2471 1    11908.2 1
   42.7749 1    42.6325 1    41054.6 1
   42.1348 1    41.4566 1    4311.09 1
   43.5367 1    43.4612 1    46391.5 1
   43.0396 1    42.7773 1    21009.9 1
    42.714 0    42.4115 0    3103.11 1
   42.4943 1    42.0339 1    28837.3 1
   42.0443 0    41.7982 0    17245.3 1
   42.7795 1    42.2093 1    20624.5 1
   42.6047 1    42.1903 0    32539.2 1
   42.1475 1    41.6756 0    9561.92 1
   42.0863 0    41.8961 0      11114 1
   41.5341 0    41.3396 0    8425.93 1
   43.2707 0    42.9337 0    8678.65 1
   42.1977 1    41.6369 1    12.7449 1
    42.489 0    41.7624 0    13999.8 1
   41.9188 1    41.4239 0    8654.77 1
   42.2085 0    41.9808 0    14872.5 1
   42.3404 1    41.9434 0    20995.6 1
   41.8562 0    41.6011 0    12508.8 1
   42.7145 1    42.1078 0    37934.1 1
   42.7492 1    42.2022 1    42143.9 1
   42.2268 0    41.7854 0    10881.2 1
   42.3677 1    41.9303 0    16565.5 1
    42.783 1    42.0746 1       5773 1
   41.9911 1    41.7094 0    11714.9 1
   42.6976 0    42.2282 1    44711.1 1
   42.4497 1    41.8913 1        484 1
   42.2171 1    41.5546 0    14590.8 1
   41.9688 1    41.5701 1    6177.67 1
    41.348 1     41.322 0    3304.38 1
   42.5439 1    42.1446 0    32009.8 1
   42.3586 1    41.7201 1    1555.36 1
   42.7397 1    42.1321 1    5452.24 1
    42.874 1    42.2904 0    26712.4 1
   42.9837 1    42.5088 1    37102.6 1
   42.9825 1    42.3998 0      45892 1
   43.1982 1    42.6113 1    45583.4 1
   42.2565 0    42.1749 0      40653 1
   43.3163 0    42.7619 0    31967.6 1
   42.7595 1    42.0249 1    12495.9 1
   43.0023 0    42.3966 0      21703 1
   42.8901 1    42.2468 1    12129.6 1
   42.6889 1    42.0414 1     4230.9 1
   41.9401 1    41.4613 1    2895.58 1
   42.5022 1    41.9662 1    15504.5 1
   41.6389 1    41.1904 0     2880.1 1
   42.6576 1    42.0227 1    11860.7 1
   41.7832 0    41.6157 0    4990.86 1
   42.4643 1    42.0993 0    9548.06 1
   42.7635 1    42.1366 1    10856.2 1
   42.5073 1    42.2533 0    25605.2 1
   41.7671 0    41.6857 0    10522.2 1
   42.6732 1    42.0921 1    11763.1 1
   41.8418 1    41.3271 1    3072.53 1
   42.7751 1    42.1715 0    11931.5 1
   42.2925 1    41.8757 0    12869.9 1
   42.8317 1    42.2381 1    22736.8 1
   43.0035 1    42.4409 1    9513.47 1
   42.6683 1    42.1048 1    13353.4 1
   42.1588 1    41.4037 1    3932.11 1
   42.9747 1    42.3473 1    13195.3 1
   42.6902 1    42.4124 0    34597.2 1
   41.9567 0     41.866 0    14738.9 1
   42.3541 1    41.6718 1    4987.14 1
    42.747 1    42.3354 0      23718 1
   42.7851 1    42.2292 0    19185.9 1
   42.3703 1    41.8953 1    9024.14 1
   42.4354 1    41.7915 1    7580.47 1
   42.3357 1    41.8229 0    3768.07 1
   42.6694 1    42.1426 0    43502.5 1
   42.7574 1    42.7612 1    37934.1 1
   42.6204 1    42.0344 1      13800 1
   42.6109 1    42.0522 1    2668.71 1
   42.3288 1     41.631 1    5404.96 1
   41.8106 1    41.2113 1     650.25 1
    42.975 1    42.3029 1    16381.7 1
   42.3042 0    42.2432 0    37999.9 1
   41.9274 1    41.5699 0    4844.97 1
   43.0714 1    42.4346 1    4972.27 1
   42.1568 1    41.6879 0    5379.15 1
   42.3916 1    41.8304 1    2403.58 1
   42.2858 0    42.1518 0    3673.06 1
   42.6156 1    42.2215 0    26520.5 1
   42.0886 0    42.1362 0    22682.5 1
   42.5261 1    42.0601 0    16282.3 1
   42.9734 1    42.2584 0    44872.4 1
   42.3318 0    41.8687 0    28290.4 1
   42.3147 0    41.8433 0    6025.72 1
   42.5607 0    42.5541 0    47387.1 1
   42.3586 0     42.309 0    20996.9 1
   42.0524 1     42.182 0    22999.9 1
   42.2882 0    42.2993 0    28138.2 1
   42.0296 0    41.8518 0    9864.99 1
   42.4371 0    42.3219 0    35801.2 1
    42.781 1    42.0969 0    24955.8 1
   42.5003 0    42.2411 0    47788.5 1
   42.6723 1    42.2821 1    26074.6 1
   42.3802 0    42.1383 0      19789 1
   42.4473 1    41.9013 0    14967.4 1
   42.3562 1    41.8309 1    57.9121 1
    43.084 1    42.5232 1    5569.04 1
   41.5178 0    41.1712 0    3075.43 1
   41.4756 0    41.2445 0    4747.73 1
   42.4308 1    41.8321 1    7293.53 1
   42.3508 1    41.6614 1     6683.3 1
   42.7618 1    42.1518 1    13195.3 1
   42.8616 1    42.1993 0    9789.42 1
   41.8212 0    41.3465 0    6722.26 1
   42.1148 0     41.721 0       5281 1
   42.4992 0    41.8517 0    20464.7 1
   42.9923 1    42.4933 1    25605.2 1
   42.6714 1    42.0848 0    15504.5 1
   42.7229 1    42.2935 0    41581.5 1
    42.362 1    41.7118 0    5147.16 1
   40.9866 0    40.6346 0    1338.22 1
   41.0903 0    40.7745 0    1114.61 1
   42.2838 1    42.0497 0    17139.6 1
   42.8165 1    42.1521 1    10737.2 1
   42.3934 1    41.8899 0      11883 1
   42.9636 1    42.3192 1    22909.7 1
   42.4354 1    42.0317 1    16119.5 1
   42.5785 1    42.1747 1    20157.2 1
   42.7173 1    42.0366 1    3620.23 1
   43.0997 1      42.47 1    25034.3 1
   42.4501 1    41.7954 0    10063.2 1
   42.2278 1    41.5904 1    4627.59 1
   42.5636 1    41.8967 1    12779.1 1
   42.4215 0    41.7474 0    8619.42 1
   42.9683 1    42.3584 1    7940.66 1
   42.4538 1    42.0572 0    25460.7 1
   43.0767 1    42.4472 1    21756.1 1
   43.0725 1     42.532 1    16410.4 1
   42.6391 1    42.2943 1    35205.1 1
   41.6889 1    41.2204 0    3410.75 1
   41.8893 1    41.6478 0    7230.38 1
   42.7733 1    42.1683 1    25292.3 1
   41.8422 1    41.1974 1    2293.79 1
   42.2603 1    41.5563 0    11163.7 1
    41.834 0     41.539 0    8364.36 1
   42.4409 1    41.8363 0    17811.2 1
    42.109 0    41.8405 0    16781.6 1
   42.0589 1    41.4983 1    3422.25 1
   41.6723 0    41.5414 0    12682.6 1
    42.117 1    41.7135 1    4242.31 1
   41.4776 0     41.275 0    4145.84 1
   42.1112 1    41.6836 0    5693.09 1
   42.2639 0    41.8455 0    20680.1 1
   42.4154 1    42.0657 0      27633 1
   41.8186 1    41.6337 0    10437.7 1
   42.5509 1    41.9026 0    22859.3 1
   42.9432 1    42.3161 1    13291.6 1
   42.2259 0    41.9689 0    13912.3 1
   42.2467 1    41.6663 0    6681.14 1
   43.0987 1    42.5775 1      24459 1
   42.7057 1    42.2383 0    36293.1 1
   42.1687 0    41.8022 0    16386.3 1
   42.1472 0    42.0534 0    24593.3 1
   42.8863 1    42.1557 1    16944.4 1
   42.1145 1    41.4512 1    3127.49 1
    42.713 1    42.1473 1    9341.46 1
    42.768 1    42.0587 1    19033.3 1
   42.1423 0    42.0027 0    25706.5 1
   42.4608 1    41.8572 0    12228.7 1
   42.8054 1    42.3362 0    43204.6 1
   43.1093 1    42.4855 0    48665.8 1
   41.2271 0    40.7524 0     376.36 1
   42.2206 1    41.5955 1    3924.98 1
   42.1857 0     41.844 0    2228.76 1
   42.0827 1    41.7951 0    3462.01 1
   43.1387 1    42.5373 1        324 1
    42.027 1    41.4871 0    1267.36 1
   42.5217 1    41.8619 0    9375.73 1
   41.9622 1    41.3043 1     566.44 1
   42.5508 1    41.9825 1    13219.8 1
   42.2944 1    41.6583 1     998.56 1
   42.4446 1    41.8736 1    3955.76 1
   43.1249 1     42.519 1     665.64 1
    42.075 1    41.4795 1    1056.25 1
   42.5553 1    41.9378 1     696.96 1
   42.3344 1    41.6718 1    2124.36 1
   42.5206 1    41.9394 1    2925.72 1
   42.5755 1    42.0511 1    5784.37 1
   41.3655 1    41.0787 0    1513.21 1
   41.9256 1    41.3556 1     292.41 1
   42.2575 1     41.594 1    1482.25 1
   42.1277 1    41.4748 1       1600 1
   42.4397 1    41.8285 1     292.41 1
   42.3663 1    41.6983 1     292.41 1
   41.4773 1    40.9245 1     190.44 1
   41.3583 1    40.7465 1     125.44 1
   42.1967 1    41.5571 1     992.25 1
   41.5132 1    40.9366 1     992.25 1
   42.0899 1    41.5069 1    2584.67 1
   41.9769 1    41.3683 1     282.24 1
   42.4944 1    41.9005 1     2601.1 1
    42.949 1    42.2983 1    10143.5 1
   42.3204 1    41.6483 1    4014.91 1
   42.9461 1    42.3629 1    2005.71 1
     41.73 1    41.1294 1        196 1
   42.4832 1    42.0055 1    12041.6 1
   42.7791 1    42.1814 1     342.25 1
   43.2057 1    42.5893 1    19641.4 1
   42.6398 1    41.9514 1    7218.38 1
   42.4636 1    41.8559 1    8977.12 1
   42.3377 0    42.0479 0    10026.8 1
   41.9107 1    41.4347 0    6887.32 1
   40.7505 1    40.3144 0     272.25 1
   42.3396 1    41.7346 1     954.81 1
   41.7307 1    41.0957 1     470.89 1
   42.2717 1    41.6676 0    5554.62 1
   42.8393 1    42.2278 1     5368.2 1
   43.0568 1    42.4709 1    11841.4 1
   42.2099 0    41.9614 0    25417.5 1
   42.3098 1    41.6848 1     615.04 1
   42.8471 1    42.2171 1    1892.25 1
   43.0897 1    42.4581 1    12097.3 1
   42.6007 1     41.953 1     243.36 1
   43.4542 1    42.8237 1    11409.1 1
   42.3396 1    41.7344 1     171.61 1
    42.605 1    42.0015 0    13401.8 1
   42.4451 1    41.8528 1        484 1
   42.4251 1    41.8053 1    4157.13 1
   42.4746 1    41.8323 1    1149.21 1
   41.8125 1    41.2062 1     210.25 1
   41.8928 1    41.2282 1     702.25 1
    43.213 1    42.5097 1       5007 1
   42.8684 1     42.266 1     992.25 1
   42.6288 1    41.9764 1     349.69 1
   42.9603 1    42.3217 1    16720.2 1
   42.8035 1    42.1579 1    5531.06 1
   42.0989 1    41.5534 0    3465.61 1
   42.9608 1    42.3855 1    5217.35 1
   43.1905 1     42.728 1    36425.4 1
