   43.5353 1    42.5753 0    37934.1 1
   43.4675 1    42.6683 0    16119.5 1
    43.884 1    42.9703 0    26551.4 1
    43.403 1    42.3953 0      32794 1
    44.049 1    42.7687 1    44354.6 1
   43.8695 1    42.5436 1    23602.8 1
   43.4405 1    42.0295 1     6561.4 1
   44.0696 1    42.6047 1    39735.6 1
   42.3178 1    41.6403 0    4805.95 1
   43.3386 1    42.5247 0    23745.8 1
   43.4468 1    42.8672 0      22147 1
   43.2894 1    42.6167 0    43471.9 1
   43.6406 1    42.4221 0    32797.3 1
   44.2879 1    43.1604 1      16328 1
   43.2441 0    42.5534 0    43090.3 1
   43.3967 1    42.2159 0    26761.2 1
   43.2958 1     42.605 0    35085.4 1
   43.1164 1    42.7976 0      29586 1
   43.0581 0    42.4211 0    29930.4 1
   43.5851 1    42.3295 0    26551.4 1
   43.8281 1    42.3733 1    10886.8 1
    43.526 1     42.114 1    20930.4 1
     43.83 1     42.671 1    25163.2 1
   44.0545 1    42.6456 1    14626.4 1
   43.2573 1    41.6413 1      10081 1
   43.3643 1    42.4845 1    34109.2 1
   42.0366 0    41.4016 0    2789.95 1
   42.3648 0    41.9138 0    10458.6 1
   43.4564 0    42.5384 0    42521.1 1
   42.9548 1    42.4227 0    27593.9 1
   44.5688 1    42.9834 1    39022.3 1
   43.3894 1    42.2319 0    27128.1 1
   42.9618 1    42.5179 0    18474.2 1
   43.7919 1    42.5623 0    34463.5 1
    43.558 1    42.1494 1    1959.21 1
   43.0969 1    42.4726 1    31197.1 1
   44.0857 1    42.6755 1    26727.1 1
   43.1061 1    42.0978 0    12525.7 1
   43.4541 1    42.7783 1    41054.6 1
   43.5336 1    42.0917 1    4311.09 1
   44.1697 1    43.0039 1    21009.9 1
   43.4923 1    42.5069 1    28837.3 1
   42.8453 1    42.1969 0    17245.3 1
   43.8612 1    42.8062 1    20624.5 1
   43.1323 1    42.4803 1    32539.2 1
   43.2537 1    42.0587 1    9561.92 1
   42.7692 1    41.9778 0      11114 1
   42.3223 0    41.6625 0    8425.93 1
   43.4192 1    42.2093 1    12.7449 1
   42.5743 1    42.3764 1    13999.8 1
   43.4618 1    41.9927 1    8654.77 1
   43.0528 1    42.0891 1    14872.5 1
   43.0406 1    42.3848 1    20995.6 1
   42.6624 1    41.7506 1    12508.8 1
   43.8281 1    42.7295 1    37934.1 1
    44.391 1    42.7668 1    42143.9 1
   42.5198 1      42.27 0    10881.2 1
   43.7417 1    42.4756 1    16565.5 1
   43.4094 1    42.0487 1    11714.9 1
   43.5215 1    42.8102 0    44711.1 1
   43.2777 1    42.4368 1        484 1
   42.7147 1    42.2353 1    14590.8 1
   43.3452 1    42.2276 0    6177.67 1
   43.4689 1    41.3993 1    3304.38 1
   43.0887 0    42.4684 1    32009.8 1
    43.349 1    42.3549 1    1555.36 1
   43.0645 1    42.7761 1    5452.24 1
   43.9252 1    42.9122 1    26712.4 1
   43.9863 1    42.9614 1      45892 1
   44.2371 1    43.2212 1    45583.4 1
   43.3439 1    42.1561 0      40653 1
   44.2324 1    43.2725 1    31967.6 1
   43.9617 1    42.7572 1    12495.9 1
   43.2647 1    43.1916 0      21703 1
   43.6281 1    42.8958 1    12129.6 1
   44.1837 1    42.6989 1     4230.9 1
    43.327 1    41.9512 1    2895.58 1
   43.3563 1    42.5018 1    15504.5 1
   42.9863 1    41.5929 1     2880.1 1
   43.5789 1    42.6932 1    11860.7 1
   42.7969 1    41.6828 0    4990.86 1
   42.9844 1    42.5263 0    9548.06 1
    43.525 1    42.7808 1    10856.2 1
   42.6694 1    41.8108 0    10522.2 1
   44.0772 1    42.6903 1    11763.1 1
   42.9308 1    41.8285 1    3072.53 1
   43.5113 1    42.8271 1    11931.5 1
   43.4655 1    42.2986 1    12869.9 1
   44.0137 1    42.8728 1    22736.8 1
   43.5389 1    42.9827 1    9513.47 1
   42.8493 1    42.6345 1    13353.4 1
   43.2881 1     42.105 1    3932.11 1
   44.3914 1    42.9756 1    13195.3 1
   43.1618 1    42.6943 1    34597.2 1
   42.9658 1    42.0068 0    14738.9 1
   43.8926 1      42.32 1    4987.14 1
   43.5886 1     42.786 1      23718 1
   44.0802 1    42.7466 1    19185.9 1
   43.5685 1    42.2991 1    9024.14 1
   44.1117 1    42.4226 1    7580.47 1
   43.5953 1    42.3362 1    3768.07 1
   44.0753 1     42.645 1    43502.5 1
   43.8462 1    42.6564 1      13800 1
   43.5991 1    42.6173 1    2668.71 1
   43.6948 1    42.3501 1    5404.96 1
   42.6844 1    41.8278 1     650.25 1
   44.3364 1    42.9701 1    16381.7 1
