   43.5353 1    42.5084 1    37934.1 1
   43.4675 1      42.93 1    16119.5 1
    43.884 1    43.3535 0    26551.4 1
    43.403 1    42.2333 1      32794 1
    44.049 1    43.2369 1    44354.6 1
   43.8695 1    43.0426 1    23602.8 1
   43.4405 1    42.5678 1     6561.4 1
   44.0696 1    43.0483 1    39735.6 1
   42.3178 1    41.7749 1    4805.95 1
   43.3386 1    42.5706 1    23745.8 1
   43.4468 1    43.1701 0      22147 1
   43.2894 1    42.7137 0    43471.9 1
   43.6406 1     42.659 1    32797.3 1
   44.2879 1    43.6889 1      16328 1
   43.2441 0    42.6941 0    43090.3 1
   43.3967 1    42.3515 1    26761.2 1
   43.2958 1    42.2128 1    35085.4 1
   43.1164 1    42.5333 1      29586 1
   43.0581 0    42.6821 0    29930.4 1
   43.5851 1    42.9078 1    26551.4 1
   43.8281 1    42.9292 1    10886.8 1
    43.526 1    42.6111 1    20930.4 1
     43.83 1     43.185 1    25163.2 1
   44.0545 1    43.1654 1    14626.4 1
   43.2573 1    42.1852 1      10081 1
   43.3643 1     42.936 1    34109.2 1
   42.0366 0    41.5556 0    2789.95 1
   42.3648 0    41.9534 0    10458.6 1
   43.4564 0    42.6221 0    42521.1 1
   42.9548 1    42.3445 1    27593.9 1
   44.5688 1    43.5363 1    39022.3 1
   43.3894 1    42.2237 0    27128.1 1
   42.9618 1    42.6183 0    18474.2 1
   43.7919 1    42.9862 1    34463.5 1
    43.558 1    42.7293 1    1959.21 1
   43.0969 1    42.9917 1    31197.1 1
   44.0857 1    43.0147 1    26727.1 1
   43.1061 1    42.5014 1    12525.7 1
   43.4541 1    43.0056 1    41054.6 1
   43.5336 1     42.639 1    4311.09 1
   44.1697 1    43.2839 1    21009.9 1
   43.4923 1    42.9925 1    28837.3 1
   42.8453 1    42.2633 0    17245.3 1
   43.8612 1    43.2547 1    20624.5 1
   43.1323 1    42.8326 1    32539.2 1
   43.2537 1    42.5435 1    9561.92 1
   42.7692 1    41.9037 1      11114 1
   42.3223 0     41.876 0    8425.93 1
   43.4192 1    42.7427 1    12.7449 1
   42.5743 1    42.6559 1    13999.8 1
   43.4618 1    42.4487 1    8654.77 1
   43.0528 1    42.5033 1    14872.5 1
   43.0406 1    42.8499 1    20995.6 1
   42.6624 1    42.2276 1    12508.8 1
   43.8281 1    43.2618 1    37934.1 1
    44.391 1    43.3149 1    42143.9 1
   42.5198 1    42.5172 0    10881.2 1
   43.7417 1    42.8412 1    16565.5 1
   43.4094 1    42.5109 1    11714.9 1
   43.5215 1    43.0595 1    44711.1 1
   43.2777 1    42.9198 1        484 1
   42.7147 1    42.6618 1    14590.8 1
   43.3452 1    42.5486 1    6177.67 1
   43.4689 1    41.8779 1    3304.38 1
   43.0887 0    42.9259 1    32009.8 1
    43.349 1    42.8858 1    1555.36 1
   43.0645 1    43.2586 1    5452.24 1
   43.9252 1    43.3834 1    26712.4 1
    43.195 1    43.4281 1    37102.6 1
   43.9863 1    43.4377 1      45892 1
   44.2371 1    43.6941 1    45583.4 1
   43.3439 1    42.5205 1      40653 1
   44.2324 1    43.7585 1    31967.6 1
   43.9617 1    43.2702 1    12495.9 1
   43.2647 1    43.5098 0      21703 1
   43.6281 1    43.3751 1    12129.6 1
   44.1837 1    43.2467 1     4230.9 1
    43.327 1    42.5088 1    2895.58 1
   43.3563 1    42.9511 1    15504.5 1
   42.9863 1     42.019 1     2880.1 1
   43.5789 1    43.1633 1    11860.7 1
   42.7969 1    41.5005 1    4990.86 1
   42.9844 1    42.8798 1    9548.06 1
    43.525 1    43.2752 1    10856.2 1
   43.7882 1    42.9537 1    25605.2 1
   42.6694 1     41.848 1    10522.2 1
   44.0772 1    43.1864 1    11763.1 1
   42.9308 1    42.3245 1    3072.53 1
   43.5113 1    43.2877 1    11931.5 1
   43.4655 1    42.8042 1    12869.9 1
   44.0137 1    43.3973 1    22736.8 1
   43.5389 1    43.4452 1    9513.47 1
   42.8493 1    43.1023 1    13353.4 1
   43.2881 1    42.6685 1    3932.11 1
   44.3914 1    43.4877 1    13195.3 1
   43.1618 1    43.2004 1    34597.2 1
   42.9658 1    42.2171 0    14738.9 1
   43.8926 1    42.8695 1    4987.14 1
   43.5886 1    43.2899 1      23718 1
   44.0802 1    43.2311 1    19185.9 1
   43.5685 1    42.7813 1    9024.14 1
