   43.1048 1    42.4477 0    37934.1 1
   43.4545 1     42.014 0    16119.5 1
   43.6688 1     42.339 0    26551.4 1
   42.2966 0    41.3744 0    4805.95 1
   42.9966 0    42.6017 0      22147 1
    43.037 0     42.275 0    43090.3 1
   42.8935 0    42.1788 0    26761.2 1
   43.1245 0    42.5693 0      29586 1
   43.2082 1    42.2399 0    26551.4 1
   43.2035 1    41.9713 0    20930.4 1
   43.8084 1    42.0147 1    14626.4 1
   42.8117 1    41.5941 0      10081 1
   43.1814 1    42.3409 0    34109.2 1
   41.6959 0    41.0337 0    2789.95 1
   42.4979 0     41.984 0    10458.6 1
   43.0924 0    42.3629 0    42521.1 1
     44.14 1    42.3916 1    39022.3 1
   42.7523 0    42.2575 0    18474.2 1
    43.441 1    42.3298 0    34463.5 1
     43.34 1    41.4576 1    1959.21 1
   43.1707 1    41.9793 0    31197.1 1
   43.6218 1    42.0877 0    26727.1 1
   43.3584 1    42.6456 1    41054.6 1
   43.8533 1    42.8211 1    21009.9 1
   43.4576 1    42.0994 1    28837.3 1
   42.5017 0    41.8759 0    17245.3 1
   43.7368 1    42.1978 0    20624.5 1
   43.1151 0    42.2506 0    32539.2 1
   42.5203 0    41.9661 0      11114 1
   42.1237 0    41.5838 0    8425.93 1
   43.0467 1    41.4942 0    8654.77 1
   42.9563 1    41.9432 0    14872.5 1
   43.0429 1    41.7288 0    11714.9 1
   43.2513 0    42.2954 1    44711.1 1
   42.9294 0     41.872 0    14590.8 1
   43.8961 1    42.4612 0    26712.4 1
   43.0015 0    42.2515 0      40653 1
   44.1743 1    42.7008 0    31967.6 1
   43.8554 1    42.0662 1     4230.9 1
   43.0979 1    41.3497 1    2895.58 1
   43.5849 1    42.0137 1    11860.7 1
    43.628 1    42.0863 0    11763.1 1
   42.8129 1    41.3493 0    3072.53 1
    43.326 1    41.7475 1    12869.9 1
    43.636 1      42.37 0    9513.47 1
   43.2854 1    41.5634 0    3932.11 1
   43.7267 1    42.2166 0      23718 1
   43.7834 1    42.2916 0    19185.9 1
   43.1721 1    41.8184 0    3768.07 1
   43.7763 1    42.2945 0    43502.5 1
   43.6632 1    42.0754 0      13800 1
   44.1884 1    42.3477 1    16381.7 1
   43.1686 0    42.3103 0    37999.9 1
   42.8032 1    42.0267 0    22682.5 1
   43.4459 1    42.1211 0    28290.4 1
   42.9935 1    42.0167 0    6025.72 1
   43.4437 1    42.5583 0    47387.1 1
   43.5842 1     41.945 0    20996.9 1
   43.2029 1    42.2248 0    22999.9 1
   42.7946 0    42.2191 0    28138.2 1
   42.5574 0    41.7657 0    9864.99 1
   43.2554 1    42.1068 1    35801.2 1
    43.876 1    42.1708 1    24955.8 1
   42.9632 0    42.3328 0    47788.5 1
   42.2337 1    41.3926 0    4747.73 1
   43.1946 1     42.171 0    20464.7 1
   43.8991 1    42.4936 1    25605.2 1
   43.4528 1    42.6303 0    15504.5 1
    43.324 1    42.3154 0    41581.5 1
   42.2812 1     40.867 0    1114.61 1
   43.3835 1    41.9151 1    16119.5 1
   43.2575 1    42.1426 1    20157.2 1
   44.0271 1    42.4544 1    25034.3 1
   43.7919 1    42.3688 1    7940.66 1
   43.8624 1    42.5586 1    16410.4 1
   42.9608 1    42.3065 0    35205.1 1
   42.6397 1    41.6294 0    7230.38 1
   43.7266 1    42.1772 0    25292.3 1
    42.745 1    41.7727 0    8364.36 1
   42.6399 1    41.9226 0    16781.6 1
   42.6323 1    41.8542 0    12682.6 1
   41.9192 0    41.1691 0    4145.84 1
   43.2758 1    41.4048 1    5693.09 1
   42.5232 0    41.7066 0    10437.7 1
   43.8011 1    41.8643 1    22859.3 1
   43.7492 1    42.3497 1    13291.6 1
   43.2122 1    42.0034 0    13912.3 1
   43.1512 1    41.5151 0    6681.14 1
   44.2516 1    42.5095 1      24459 1
   42.9705 1    42.0085 0    16386.3 1
   44.0768 1    42.3052 1    16944.4 1
   43.3158 1    41.4428 1    3127.49 1
   43.6972 1    42.0676 1    9341.46 1
   43.8637 1    42.0329 1    19033.3 1
   43.0228 1    42.0106 0    25706.5 1
   43.4404 1    41.7573 1    12228.7 1
   43.8408 1    42.3613 0    43204.6 1
   44.1462 1    42.5122 1    48665.8 1
   43.7412 1    41.9296 0    9375.73 1
   43.2851 1    42.0625 0    13219.8 1
   43.5313 1    41.8853 1     696.96 1
   42.6098 1    40.9666 0    1513.21 1
   43.1754 1     41.632 1    1482.25 1
   43.4053 1     41.849 1     292.41 1
   42.4075 1    40.7333 1     125.44 1
   42.2642 1    40.8965 1     992.25 1
   42.9692 1    41.5165 1    2584.67 1
   43.8683 1    42.3446 1    10143.5 1
   43.3389 1    41.5995 1    4014.91 1
   42.6544 1    41.5807 0    6887.32 1
   43.2711 1    41.5529 0    5554.62 1
    43.365 1     41.928 1        484 1
   43.4564 1    41.8795 1    4157.13 1
   42.5758 1    41.1012 1     210.25 1
   43.9969 1    42.4234 1    16720.2 1
   43.7964 1    42.4103 1    5217.35 1
   44.1844 1    42.6834 1    36425.4 1
   42.3291 0    42.4475 0    34463.5 1
   43.2128 1    43.1224 1    23769.4 1
   42.5143 0    42.0314 0    17158.4 1
   43.1462 0    42.3398 0    44588.9 1
   43.4189 1    41.9118 1    3049.82 1
   42.9508 1    41.3057 0    5519.95 1
   42.6769 0      42.16 0    20607.7 1
   41.7763 0    41.4351 0    4593.64 1
