           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS : 166
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
           41.327         26.000          1.000          0.038          0.319
     
           41.304         23.000          1.000          0.043          0.307
     
           41.211         19.000          1.000          0.053          0.294
     
           41.206         18.000          1.000          0.056          0.278
     
           41.197         17.000          1.000          0.059          0.263
     
           41.129         14.000          1.000          0.071          0.247
     
           41.096         13.000          1.000          0.077          0.230
     
           40.937          9.000          1.000          0.111          0.212
     
           40.925          8.000          1.000          0.125          0.189
     
           40.746          3.000          1.000          0.333          0.165
                                                                        0.110
     
     
        GEHAN`S GENERALIZED WILCOXON TEST -- PERMUTATION VARIANCE
     
          WW =   1080.00
          VAR=1188321.790
     


                 T(I)       ID1(I)    ID2(I)   R1(I)    R2(I)
              43.461         0         1    -305.0     306.0
              43.333         1         1       1.0       1.0
              43.257         0         2    -302.0     304.0
              43.104         0         1    -300.0     303.0
              42.934         1         1       3.0       1.0
              42.824         0         2    -297.0     301.0
              42.777         0         1    -295.0     300.0
              42.762         1         1       5.0       1.0
              42.761         0         1    -292.0     298.0
              42.728         0         1    -290.0     297.0
              42.633         0         1    -288.0     296.0
              42.611         0         2    -286.0     295.0
              42.606         1         2       9.0       1.0
              42.601         1         2       9.0       1.0
              42.578         0         1    -282.0     292.0
              42.568         0         2    -280.0     291.0
              42.554         1         1      11.0       1.0
              42.537         0         2    -277.0     289.0
              42.532         0         1    -275.0     288.0
              42.523         0         2    -273.0     287.0
              42.519         0         2    -271.0     286.0
              42.510         0         1    -269.0     285.0
              42.509         0         2    -267.0     284.0
              42.493         0         1    -265.0     283.0
              42.486         1         1      18.0       1.0
              42.471         0         2    -262.0     281.0
              42.470         0         1    -260.0     280.0
              42.458         0         2    -258.0     279.0
