HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
17	95019	0	5887	3370	0	18.3	7	0.031	132.72	74.76	150	14.619	0.05	14.304	0.03	9.46	1	377.74	12.69	1	372.06	18.61	1	1.02E+01	8.72E-01	1	1.28E+01	8.32E-01	1	6685.8	193.3	1	2971.9	121.8	1	1174.4	58.5	869	485	216	17.4	11.3	9	49	40	29.2	186.1	114.5	49.9	-
18	155015	0	5906	3380	0	22.91	3	0.025	71.4	56.7	20	16.343	0.082	15.839	0.03	9.77	1	64.39	2.1	1	55.91	6.13	1	1.47E+00	2.48E-01	1	2.02E+00	2.41E-01	1	1114.6	49.6	1	507.7	44.8	1	182.6	21.5	350	199	84	9.4	7.2	5.5	31.1	25.6	18.2	37.5	36	10	-
19	184016	0	5909	3381	0	23.29	13	0.02	85.68	78.12	55	15.058	0.052	14.655	0.03	9.39	1	136.18	4.31	1	133.8	15.41	1	4.34E+00	5.25E-01	1	4.37E+00	3.75E-01	1	2610.5	123.5	1	1225.4	74.4	1	469.5	43.8	585	328	145	12.1	9.3	7.2	40.2	32.9	24	116.1	66.1	36	-
20	184018	0	5931	3395	2613	23.1	8	0.025	83.71	62.78	50	13.974	0.05	13.638	0.03	9.17	2	312.03	5.32	2	458.75	12.76	2	1.61E+01	1.40E+00	2	1.61E+01	8.71E-01	3	6717.1	109.3	3	2841.8	66.4	3	1015.8	34.8	458	258	116	14.7	8.8	6.6	35.6	29.1	21.4	102.3	59	26.6	*
21	155028	0	5958	0	0	16.89	6	0.024	78	45.4	180	-99.99	-99.99	18.117	0.032	8.82	1	16.26	1.44	1	8.54	2.57	1	6.25E-01	2.55E-01	1	1.08E+00	1.48E-01	1	550.6	54.6	1	326.9	46.3	1	162.3	23	310	173	77	8.8	6.7	5.1	29.3	23.9	17.5	45.3	39.1	14.1	-
22	155029	0	5959	3414	0	20.2	1	-99.99	81.11	71.31	10	-99.99	-99.99	16.212	0.033	10.48	1	52.95	3.02	1	33.06	3.75	1	6.18E-01	7.20E-02	1	6.85E-01	1.18E-01	1	487	86.6	1	223.9	60.4	1	102.8	29.2	509	284	125	6.6	5	4	37.5	30.6	22.2	77.7	51.9	18.5	-
23	184028	0	5972	3424	0	21.44	5	0.023	108.81	59.41	110	16.361	0.05	15.855	0.03	9.9	1	530.62	5.31	1	686.93	17.71	1	1.81E+01	9.81E-01	1	1.96E+01	1.08E+00	1	8873.4	123.8	1	3743	73.6	1	1280.2	40.1	562	318	139	29	13.5	8.5	39.4	32.4	23.5	113.8	64.7	31.4	-
24	184029	0	5982	3430	0	22.64	7	0.024	167.16	94.08	35	14.384	0.05	14.007	0.03	9.88	1	412.5	9.27	1	385.9	20.6	1	1.09E+01	1.18E+00	1	1.60E+01	1.58E+00	1	8482.9	284.5	1	3807.3	166.5	1	1465.5	86.5	1368	777	343	20.6	14.3	11.4	61.5	50.6	36.8	277	158	77.5	-
25	125013	0	5995	3437	0	18.24	7	0.019	101.46	67.27	117	15.147	0.051	14.595	0.03	9.69	1	732.87	27.04	1	998.25	30.39	1	2.16E+01	1.19E+00	1	2.12E+01	1.14E+00	1	8680.5	94.6	1	3549.9	67.6	1	1274.2	47	593	334	149	22.4	13.1	8.8	40.5	33.2	24.3	82.5	57.4	39.3	-
26	184031	0	5990	0	0	22.41	4	0.019	58.5	34.79	15	17.616	0.1	17.243	0.03	8.94	1	19.74	1.47	1	17.2	4.86	1	7.44E-01	9.80E-02	1	8.64E-01	1.06E-01	1	483.7	34	1	269.5	24.7	1	120.1	14.8	179	102	44	6.9	5.1	3.9	22.2	18.3	13.2	24.8	15.8	5.4	-
