HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
68	186045	0	0	0	0	20.17	5	0.02	20	20	0	17.918	0.267	17.395	0.032	8.93	1	65.84	1.94	1	84.91	7.1	1	1.52E+00	1.00E-01	1	1.53E+00	9.20E-02	2	513.4	5	2	216.9	5	2	73.8	7	116	63	28	0	0	0	0	0	0	0	0	0	-
69	268088	0	6787	3898	0	16.73	4	0.021	183.54	107.94	108	15.144	0.054	14.791	0.035	10.47	1	163.34	13.39	1	92.28	19.7	1	3.46E+00	1.12E+00	1	4.32E+00	1.20E+00	1	3481.8	419.8	1	1828.6	260.5	1	718.9	101.5	1732	978	430	20.9	15.6	12.8	69.2	56.8	41.2	413.5	253.8	91.9	-
70	0	0	0	0	2969	23.1	6	0.027	61.21	51.5	105	15.308	0.052	14.971	0.03	-99.99	1	42.77	2.6	1	58.1	6.12	1	1.61E+00	2.00E-01	1	2.02E+00	1.61E-01	1	1139.9	39.3	1	544.9	33.3	1	200.9	19.5	276	157	70	8.3	6.6	5.2	27.6	22.7	16.6	26.7	23.4	8.7	-
71	292042	0	6860	3945	0	17.99	1	-99.99	220.5	145.74	165	-99.99	-99.99	16.02	0.037	10.55	1	95.42	7.33	1	46.52	11.74	1	1.57E+00	9.57E-01	1	4.25E+00	6.85E-01	4	2432.3	877	4	1214.2	564.5	4	419.9	321.3	2807	1574	698	16.1	12	9.6	88.1	72	52.5	872.4	559.7	316.8	*
72	0	0	0	3952	2972	22.53	12	0.025	81.27	48.09	79	15.299	0.059	14.882	0.03	-99.99	1	62.61	5.3	1	183.15	14.32	1	2.40E+00	2.61E-01	1	1.97E+00	3.08E-01	1	921.3	75.1	1	421.5	61.5	1	149.6	42.3	343	188	85	9.2	6.9	5.5	30.8	24.9	18.3	67.9	55.8	37.7	-
73	269013	0	6870	3953	0	15	6	0.03	243.05	129	13	-99.99	-99.99	-99.99	-99.99	10.6	1	1490.57	42.22	1	1177.57	79.81	1	2.82E+01	2.64E+00	1	4.95E+01	4.00E+00	1	31441.6	1540.4	1	14040.4	826.5	1	5093.4	337.3	2730	1539	685	27.1	20.1	16.1	86.9	71.2	52.1	1537.7	823.1	332.8	-
74	269019	0	6918	3982	0	15.83	5	0.014	98.28	85.68	38	-99.99	-99.99	13.776	0.03	9.52	1	627.85	10.42	1	727.35	22.11	1	1.65E+01	1.02E+00	1	1.74E+01	9.78E-01	1	7489.2	226	1	3095.3	205.5	1	1110.7	89.2	735	417	182	21.9	14	10.2	45.1	37.1	26.8	220.3	201.6	84.5	-
75	269020	0	6919	0	0	18.33	10	0.014	51.59	40.45	90	-99.99	-99.99	18.19	0.031	9	1	10.48	1.32	0	0	16.49	1	1.48E-01	7.10E-02	1	3.70E-01	6.20E-02	1	352.1	35.4	1	200.2	31.8	1	90.9	19.9	181	103	49	6.8	5.2	4.1	22.4	18.4	13.9	26.5	25.4	13.6	-
76	269022	0	6923	0	0	15.27	12	0.026	84	34.86	170	-99.99	-99.99	-99.99	-99.99	8.72	1	17.28	2.26	1	26.34	5.62	1	8.86E-01	1.76E-01	1	9.09E-01	1.72E-01	1	666	49.6	1	377.8	38.5	1	149.2	20	260	145	65	7.9	6.1	5	26.8	21.9	16	40.9	31.1	10.9	-
77	13033	0	6993	4030	0	20.83	6	0.027	175.14	126.84	31	13.95	0.05	13.25	0.03	10.54	1	2004.48	30.64	1	1876.06	67.72	1	5.85E+01	3.25E+00	1	7.38E+01	4.06E+00	1	36007.6	500.5	1	14723.4	311.4	1	5018	168.3	1939	1090	484	43.8	23.5	16.5	73.2	59.9	43.8	493.2	304.7	161.7	-
78	98019	0	6995	4032	0	18.13	12	0.035	78.12	76.44	176	15.006	0.069	14.686	0.03	9.2	1	65.26	2.77	1	61.28	8.4	1	2.04E+00	2.23E-01	1	2.80E+00	4.42E-01	1	1598.2	172.5	1	828.4	89	1	348.9	39.5	518	292	133	11	8.4	6.7	37.8	31	22.9	167.9	83	31.5	-
79	69024	0	7001	4019	755	21.54	5	0.032	107.73	52.22	145	15.692	0.052	15.364	0.032	8.62	1	27.75	2.13	1	51.97	7.78	1	9.86E-01	1.92E-01	1	1.58E+00	4.28E-01	1	785.7	105.4	1	405.7	68.1	1	174.9	37.3	494	278	124	11.2	8.1	6.8	37	30.3	22.2	98.1	60.4	29.2	-
80	69027	0	7002	4037	0	17	5	0.029	105.42	85.68	15	15.659	0.052	15.179	0.033	9.51	1	83.17	6.49	1	95	25.43	1	1.48E+00	5.70E-01	1	2.88E+00	6.80E-01	1	2028.1	229.7	1	1051.4	107.7	1	426.3	78.4	788	439	195	13.4	10.2	8.5	46.7	38	27.8	224.5	100.2	72.9	-
81	13046	0	7021	4045	0	17	3	0.022	126	93.24	5	16.257	0.051	15.549	0.031	9.94	1	407.52	8.54	1	646.1	14.16	1	1.53E+01	9.70E-01	1	1.71E+01	1.27E+00	1	8555	210.2	1	3685.7	104.2	1	1254.1	42.7	1027	573	258	27.8	15	10.3	53.3	43.4	32	201.4	93.5	26.4	-
82	98037	0	0	0	0	17	4	-99.99	57.75	54.4	105	16.807	0.065	16.299	0.031	8.69	1	55.56	1.49	1	51.21	4.85	1	1.89E+00	2.93E-01	1	1.68E+00	1.58E-01	1	863.7	62.5	1	368.8	39.5	1	129	21.4	276	152	68	9	6.5	5	27.6	22.4	16.4	55.4	32	12.8	-
83	41031	0	7035	0	0	17.6	3	0.027	47.37	45.36	150	16.642	0.05	16.199	0.03	8.53	1	15.49	2.5	1	26.44	6.47	1	6.74E-01	1.37E-01	1	4.80E-01	1.09E-01	1	394.1	30.1	1	210.2	30	1	84.8	15.4	187	104	45	6.7	5.3	3.9	22.7	18.5	13.3	18.6	22.9	6.6	-
84	69036	0	7048	4067	0	17	5	0.025	50.4	37.38	45	16.126	0.05	15.699	0.03	9.39	1	80	2.44	1	57.28	8.79	1	1.79E+00	1.91E-01	1	2.60E+00	1.79E-01	1	1326.1	33.6	1	586.4	25.1	1	208.5	16	165	94	42	6.6	5.2	3.9	21.4	17.6	12.9	25	17.1	8.7	-
85	243044	0	7095	4100	0	15.31	6	0.023	225.54	74.76	163	14.712	0.051	14.235	0.03	10.07	1	872.2	14.34	1	917.06	26.5	1	2.34E+01	2.26E+00	1	3.05E+01	1.97E+00	1	15287.9	349.6	1	6772.1	229.3	1	2577.8	133.7	1473	828	367	29.7	17.8	12.8	63.8	52.2	38.1	342.5	222.5	127.5	-
86	41041	0	7111	4116	0	17	10	0.022	159.6	100.8	163	14.175	0.05	13.871	0.03	9.23	1	187.82	9.56	1	196.46	27.11	1	6.57E+00	1.50E+00	1	9.40E+00	1.36E+00	1	5141.3	270.8	1	2619.4	158.5	1	1156.1	52	1398	792	354	19	13.7	11.4	62.2	51.1	37.4	262.9	149.4	34.3	-
87	69058	0	7117	4119	0	17	1	-99.99	68.03	50.87	150	-99.99	-99.99	16.023	0.04	10.01	1	52.16	1.75	1	41.3	5.23	1	1.70E+00	2.93E-01	1	1.83E+00	2.66E-01	1	918.8	94.4	1	383.6	66.8	1	130.2	29	303	165	77	6.8	4.9	3.8	35.5	29	21	87.2	60	19.6	-
88	41042	0	7116	4123	0	17	7	0.02	210	162.96	105	-99.99	-99.99	13.822	0.03	9.63	1	496.66	36.95	1	1171.13	84.42	1	1.29E+01	2.20E+00	1	1.45E+01	2.44E+00	1	8144.1	486.8	1	3913.8	293.7	1	1636.2	146.1	2981	1674	745	28.6	20.5	16.3	90.8	74.2	54.3	477.4	283.4	134.7	-
89	69088	66	7215	4178	0	17	10	0.028	224.7	78.54	30	14.072	0.05	13.689	0.03	9.61	1	331.86	24.43	1	369.44	56.75	1	1.08E+01	1.13E+00	1	1.50E+01	1.77E+00	1	9631.1	238.5	1	5154.7	180.4	1	2289	68.7	1538	867	385	20.8	14.7	12	65.2	53.4	39	228.5	171.7	55.3	-
90	13104	0	7214	4179	0	17	1	-99.99	91.2	91.2	0	18.251	0.054	16.445	0.037	10.26	1	43.1	1.96	0	0	18.5	0	1.65E+00	0.00E+00	0	2.25E+00	0.00E+00	0	277.6	0	0	296.9	0	0	137.3	0	725	408	181	7.9	6.1	4.8	44.9	36.8	26.7	80.5	91.6	36.9	-
91	98108	92	7231	4192	0	17	4	0.035	410.76	109.2	155	-99.99	-99.99	13.761	0.03	10.65	1	1297.32	29.33	1	1020.42	72.65	1	2.80E+01	2.50E+00	1	4.51E+01	2.89E+00	1	27168.9	1158.3	1	12563.7	601.6	1	4741.7	319.4	3915	2201	978	38.1	22.3	16.6	103.9	85.1	62.2	1153	595.1	312.8	-
92	69101	131	7255	0	3061	17	7	0.037	101.75	51.24	120	17.342	0.05	16.846	0.03	9.1	1	55.42	2.94	1	43.4	6.29	1	1.69E+00	2.30E-01	1	2.38E+00	1.99E-01	1	1504.9	95	1	742.6	57	1	300.5	31.7	455	253	114	10.4	7.1	5.7	35.5	28.9	21.1	87.6	48.5	22.9	-
93	187029	0	7256	4203	0	15.59	1	-99.99	103.95	84.69	180	16.846	0.063	15.809	0.038	10.44	1	108.53	3.72	1	65.07	8.37	1	2.03E+00	3.48E-01	1	2.87E+00	4.20E-01	1	1488	154.5	1	672.3	90.1	1	246.8	52.3	771	431	193	8	6.2	5	46.2	37.7	27.7	147.2	81.6	44.1	-
94	69104	145	7260	4206	0	17	6	0.032	205.5	51	180	15.644	0.05	15.138	0.03	9.54	1	113.45	10.91	1	86.9	19.53	1	3.31E+00	4.04E-01	1	5.24E+00	5.36E-01	1	3860.2	140	1	2206.8	103.7	1	1034.4	61.8	902	508	235	14.5	10.2	8.1	50.6	40.9	30.5	129.8	94.7	53.2	-
95	69107	152	7268	4207	0	17	8	0.017	82.32	37.38	120	17.056	0.14	16.56	0.031	9.66	1	259.14	4.74	1	221.32	13.15	1	7.80E+00	4.50E-01	1	8.14E+00	4.44E-01	1	3499.3	58.7	1	1369.8	33.4	1	441.7	21.2	266	154	68	13.4	8.2	5.6	27.1	22.5	16.4	50.3	23.3	12.2	-
96	69110	157	7275	4212	0	17	7	0.033	151.2	84.42	75	14.864	0.05	14.205	0.03	10.01	1	772.03	7.99	1	744.83	25.65	1	2.04E+01	1.23E+00	1	2.51E+01	1.34E+00	1	12655.3	227.8	1	5205.6	155.4	1	1788.3	80.7	1116	624	283	21.9	12.9	9.2	55.5	45.7	33.5	219.8	148	72.8	-
97	69112	167	7284	4216	0	17	5	0.032	383.04	90.72	19	16.065	0.05	15.055	0.031	11	1	879.32	32.44	1	538.97	48.61	1	1.82E+01	1.56E+00	1	3.32E+01	2.56E+00	1	21484.6	486.3	1	10248.2	308.4	1	3917.9	151.6	3038	1709	760	31.2	20.1	15.2	91.6	75	54.8	476.6	298.4	140.5	-
98	69119	187	7291	4222	0	17	7	0.031	144.07	47.45	55	17.039	0.054	16.48	0.031	9.31	1	110.17	9.02	1	117.75	9.88	1	3.22E+00	3.23E-01	1	5.37E+00	3.62E-01	1	3220.2	119.5	1	1723.1	68.5	1	740.7	36.8	598	334	151	15.1	9.3	6.7	40.7	33.2	24.4	111.4	59.2	26.7	-
99	69123	213	7305	0	3094	17	5	0.035	39.06	29.82	92	17.213	0.062	16.786	0.036	8.82	1	43.61	1.22	1	35.43	4.35	1	1.08E+00	6.70E-02	1	1.30E+00	7.90E-02	1	637.9	23.1	1	258.5	15.2	1	80.6	10.8	103	56	26	5.7	3.4	2.6	16.5	13.6	10.1	15.1	5.8	2.7	-
100	98130	226	7315	4237	0	17	6	0.03	84.42	48.72	105	16.184	0.053	15.213	0.03	9.98	1	345.59	5.62	1	298.23	19.8	1	1.01E+01	5.29E-01	1	1.41E+01	7.36E-01	1	7095.6	76.4	1	2914.3	50.5	1	940.1	34.6	362	204	90	16.3	9.2	5.8	31.5	25.9	18.9	67.6	42.4	28.5	-
101	158060	0	7338	4251	0	15.3	1	-99.99	87.12	87.12	0	-99.99	-99.99	15.897	0.044	10.2	1	52.72	1.35	1	23.32	5.76	0	1.45E+00	0.00E+00	0	1.83E+00	0.00E+00	0	364.5	0	0	198.4	0	0	135	0	662	372	165	7.5	5.7	4.7	42.8	35	26	113.4	55.8	36.4	-
102	98144	307	7345	4254	0	17	7	0.039	258.3	235.2	60	12.877	0.05	12.291	0.03	10.39	1	4845.7	52.14	1	4329.48	131.6	1	1.11E+02	6.10E+00	1	1.42E+02	7.52E+00	1	64026.1	2329.3	1	25753.9	599.1	1	8685.7	406.2	5304	2987	1324	44	29.6	23.1	121.1	99.2	72.4	2325.7	590.1	399	-
103	42015	341	7361	4260	0	23	3	0.023	68.18	35.76	45	18.446	0.168	17.06	0.124	10.35	1	40.88	2.62	0	0	25.92	1	8.59E-01	1.25E-01	1	1.04E+00	1.13E-01	1	844.6	47.3	3	388.4	33.1	3	135.1	20.4	215	121	52	6.4	4.8	3.6	24.4	20	14.3	40	26	14	*
104	99015	0	7366	0	0	17	5	-99.99	50.4	50.4	0	-99.99	-99.99	18.224	0.045	8.8	0	0	4.96	0	0	14.81	0	5.44E-01	0.00E+00	0	3.85E-01	0.00E+00	0	156	0	0	126.1	0	0	63.2	0	221	124	55	7.2	5.6	4.6	24.8	20.5	14.6	45.2	36.3	14.4	-
105	99014	355	7365	4262	0	17	1	-99.99	44.88	44.88	0	17.344	0.099	16.429	0.033	9.88	1	25.35	1.54	1	9.09	2.95	0	2.83E-01	0.00E+00	0	2.56E-01	0.00E+00	0	150.2	0	0	92.2	0	0	59	0	175	98	43	5.5	4.1	3.4	22.1	18.1	13.3	44.6	24.5	14	-
106	42032	393	7385	4276	0	23	7	0.029	88.2	88.2	0	16.097	0.05	15.615	0.03	9.37	1	65.74	7.11	1	50.66	14.96	1	2.07E+00	5.04E-01	1	2.24E+00	4.66E-01	1	1476.4	139.5	1	650.7	95.8	1	252.7	42.6	675	379	177	12.5	9.5	7.6	43.2	35.3	26.5	132.1	88.6	32.5	-
107	42033	404	7387	0	0	17	9	0.022	81.13	39.16	15	18.347	0.052	17.768	0.032	8.98	1	38.42	6.7	0	0	46.09	1	1.02E+00	1.43E-01	1	1.50E+00	1.15E-01	1	964.3	63.2	1	486	40.2	1	200.8	30.4	279	159	70	8.4	5.6	4.4	27.8	22.3	16.5	56.2	33	25.2	-
108	42037	434	0	4287	0	23	7	0.019	76.88	34.37	70	18.556	0.054	17.993	0.037	9.25	1	28.25	1.67	1	25.64	5.61	1	1.01E+00	1.67E-01	1	1.31E+00	1.32E-01	1	595.2	37.1	1	259	30.2	1	87.9	17.9	232	129	54	7.2	5	3.9	25	20.6	15.5	26.4	21.5	8	-
109	42038	449	7403	4289	0	17	8	0.019	180.68	37.42	1	17.464	0.055	17.152	0.033	9.39	1	75.08	4.67	1	51.81	11.69	1	2.68E+00	3.47E-01	1	3.38E+00	3.91E-01	1	2239	82.4	1	1173.7	64.4	1	498.9	32.2	594	336	146	14	8.8	6.3	40.5	33.3	24	70.3	54.4	20.4	-
110	70024	465	7407	4294	0	17	8	0.034	165.9	52.08	160	14.464	0.05	14.055	0.03	9.23	1	151.43	13.08	1	214.19	18.98	1	6.14E+00	4.95E-01	1	7.82E+00	5.01E-01	1	4021.7	133.6	1	1973.8	110.3	1	828	60.2	748	416	184	13.3	9.4	7.4	45.5	37	27.4	124.9	103.4	53.1	-
111	99024	483	7412	4298	0	17	7	0.035	101.46	75.17	140	15.386	0.05	14.618	0.031	10.1	1	583.32	14.04	1	493.12	30.41	1	1.43E+01	7.58E-01	1	2.22E+01	1.14E+00	1	11959.2	120.1	1	5008.5	72.3	1	1716.6	36	666	373	166	18.8	10.6	7.4	42.9	35	25.5	110.6	62.4	24.4	-
112	42044	492	7413	4300	0	23	3	0.022	90.72	29.82	40	-99.99	-99.99	17.535	0.047	10.04	1	25.05	5.71	1	19.61	5.41	1	1.06E+00	1.49E-01	1	1.00E+00	1.39E-01	1	652	45.6	1	291.7	29.9	1	104.5	17.8	239	132	60	7.3	5.1	3.8	25.6	21.1	15.4	37	20.7	8	-
113	99027	497	7418	4302	0	17	7	0.035	270.87	59.3	177	16.822	0.066	15.839	0.036	10.44	1	638.59	14.7	1	469.16	29.12	1	1.76E+01	1.10E+00	1	3.06E+01	1.62E+00	1	18637.1	244.7	1	8302.4	142.5	1	2969.7	64.6	1396	784	348	47.8	23.1	13.2	62.1	50.8	37.4	231.8	131.1	51.1	*
114	42045	508	7420	4303	0	17	6	0.022	276.78	224.7	162	12.359	0.05	11.937	0.03	10.51	1	4176.9	105.27	1	4077.9	127.47	1	1.03E+02	5.80E+00	1	1.19E+02	6.85E+00	1	54637.8	912	1	22717.1	692.9	1	8098.4	415.6	5423	3055	1358	47.8	26.5	19.8	122.4	100.2	73.3	902.5	685.1	408.6	-
115	42047	517	7422	0	0	17	4	0.02	57.42	36.27	170	-99.99	-99.99	18.23	0.033	9.24	1	33.25	4.94	1	55.84	9.92	1	1.01E+00	9.50E-02	1	1.01E+00	8.60E-02	1	642.3	36.6	1	278.3	27.5	1	92.5	15.5	180	103	44	6.7	4.4	3.3	22.4	18.4	13.2	28.2	20	7.4	-
116	70031	522	7432	4305	0	17	3	0.042	109.2	109.2	0	19.591	0.628	17.737	0.047	9.62	0	0	7.78	0	0	19.84	0	1.04E+00	0.00E+00	0	1.37E+00	0.00E+00	0	481.1	0	0	409.4	0	0	170.9	0	1040	585	260	13.2	9.8	8	53.7	43.8	31.8	150.5	128.9	46.6	-
117	70029	524	7431	4307	0	23	5	-99.99	160.91	46.92	25	18.302	0.052	16.845	0.032	10.35	1	148.44	3.76	1	125.77	11.47	1	4.52E+00	5.34E-01	1	7.71E+00	4.77E-01	1	4430.1	106.4	1	1943.4	84	1	672.2	47.9	659	371	163	24.3	12	7.6	42.7	34.9	25.6	94.3	75.5	39.8	-
118	42053	552	7439	0	0	17	8	0.024	79.38	60.06	170	14.844	0.05	14.659	0.03	8.67	0	0	35.78	0	0	53.1	1	1.38E+00	2.87E-01	1	1.61E+00	2.69E-01	1	916.9	86.2	1	494.2	68.8	1	199.7	35.7	416	236	102	8.6	6.4	5.2	33.9	27.7	20.3	78.8	62.6	28.9	-
119	99029	559	7442	4312	0	17	4	0.027	214.2	52.08	170	17.819	0.063	16.21	0.032	9.92	1	251.21	3.77	1	201.38	9.21	1	6.63E+00	4.87E-01	1	8.68E+00	6.06E-01	1	4085.2	243.6	1	1631.6	156.2	1	521.6	86.8	975	550	247	26	13.1	8.6	52	42.4	31.3	236.5	149.8	80.5	-
120	70034	570	7445	4313	0	17	4	-99.99	214.2	48.72	143	17.963	0.058	16.469	0.041	10.08	1	180.36	7.16	1	124.91	13.47	1	4.29E+00	4.54E-01	1	7.04E+00	5.33E-01	1	3928.7	178.2	1	1689.4	159.7	1	577.1	69	910	514	230	18.3	11.2	8	50.2	41	30.2	170	153.9	61.6	-
121	70035	576	7447	4316	0	23	6	0.022	107.09	46.42	110	17.665	0.051	16.776	0.033	10.09	1	197.76	5.61	1	157.34	11.26	1	5.54E+00	3.22E-01	1	8.63E+00	5.06E-01	1	4699.6	65.4	1	2085.9	51.2	1	749.1	31.1	432	245	109	18.8	10	6.1	34.6	28.2	20.8	52.3	41.6	22.3	-
122	99030	596	7450	4321	0	17	6	0.026	383.04	340.62	30	12.866	0.05	12.265	0.03	10.71	1	3779.08	50.22	1	3543.76	129.27	1	8.79E+01	6.34E+00	1	1.24E+02	7.21E+00	1	66006.4	2209.8	1	27948	1792	1	9742.4	817	11387	6408	2849	65.4	43	32.6	177.4	145.3	106.2	2201.7	1785.6	809.4	-
123	42063	613	7451	4324	0	17	1	-99.99	147.84	42	53	16.465	0.077	15.945	0.03	10.14	1	78.41	5.76	1	54.09	7.99	1	1.47E+00	3.97E-01	1	2.94E+00	3.36E-01	1	1781.7	88.8	1	846.5	59.7	1	322.9	31.8	540	308	139	10.5	7.5	5.9	38.6	31.9	23.5	79.3	50	20.6	-
124	70039	630	7456	4330	0	17	8	0.024	246.12	60.9	64	15.949	0.05	15.468	0.032	9.52	1	132.86	9.44	1	106.66	17.7	1	3.12E+00	6.60E-01	1	6.08E+00	8.20E-01	1	3499	226.4	1	1721.3	140.8	1	680.8	78	1312	735	330	18.8	12.3	9.4	60.2	49.2	36.1	217.4	131.4	68.5	-
125	42068	648	7461	4339	0	23	0	-99.99	22.5	22.5	0	-99.99	-99.99	17.035	0.034	10.3	1	26.73	4.79	0	0	62.73	0	1.11E-01	0.00E+00	0	1.09E-01	0.00E+00	0	44.3	0	0	31.7	0	0	20.4	0	44	24	11	3.2	2.2	2.1	10.9	8.7	6	9.4	5.6	2.6	-
126	99036	654	7467	4340	0	17	1	-99.99	86.4	86.4	0	-99.99	-99.99	16.799	0.047	10.24	1	18.61	0.77	0	0	7.77	0	9.57E-01	0.00E+00	0	1.90E+00	0.00E+00	0	344.7	0	0	272.5	0	0	172	0	651	366	162	7.5	5.7	4.6	42.6	34.7	25.5	106.5	83.8	51.1	-
127	42070	656	7465	4343	0	23	5	0.021	108.8	43.82	130	17.365	0.051	16.582	0.031	10.24	1	156.89	6.16	1	122.24	9.21	1	4.34E+00	2.67E-01	1	6.30E+00	3.50E-01	1	3570.5	96	1	1599	59	1	589.7	28.3	418	233	107	14	8.3	5.7	34	27.9	20.6	88.7	51.4	18.5	-
128	42072	667	7469	0	3259	23	10	0.022	79.38	39.48	15	17.052	0.05	16.577	0.03	9.31	1	33.43	2.53	1	26.31	7.26	1	5.95E-01	1.15E-01	1	1.33E+00	1.09E-01	1	952.3	50.2	1	471.5	33.9	1	190	21.2	274	153	69	7.5	5.3	4.3	27.5	22.6	16.6	41.4	24.7	12.5	-
129	99038	685	7473	4350	0	17	1	-99.99	20	20	0	-99.99	-99.99	16.284	0.037	10.29	1	62.3	3.19	1	34.12	7.66	1	8.53E-01	1.14E-01	1	5.02E-01	1.23E-01	2	320.6	5.4	2	104.1	8	0	64.9	0	184	104	53	0	0	2.8	0	0	14.6	0	0	15.7	*
130	70045	692	7476	4351	0	17	4	0.029	83.78	62.09	70	15.724	0.05	15.129	0.03	9.17	1	70.77	6.58	1	49.53	8.76	1	2.01E+00	3.09E-01	1	2.92E+00	2.90E-01	1	1532.7	82.6	1	752.6	68.5	1	289.5	38.5	451	254	113	9.5	6.8	5.3	35.3	28.9	21	74	61.7	31.8	-
131	42079	697	7474	0	3267	23	8	-99.99	65.1	65.1	0	17.009	0.051	16.477	0.03	9.41	1	31.96	2.11	0	0	19.59	1	5.52E-01	1.90E-01	1	1.26E+00	1.36E-01	1	774.9	60	1	341.2	44	1	125.6	29	376	213	97	8.2	6.1	5	32.1	26.5	19.6	50	34.6	20.8	-
132	42080	699	7477	0	3268	23	13	0.025	81.9	57.96	22	15.502	0.05	15.173	0.03	9.13	1	34.88	2.92	1	42.72	10.82	1	1.70E+00	2.59E-01	1	1.40E+00	1.58E-01	1	834.7	77.3	1	439.1	38.3	1	185.2	29.1	413	227	107	8.9	6.4	5.2	33.8	27.6	20.5	69	25.8	20	-
133	158099	0	7483	4359	0	17.9	7	0.025	149.59	48.83	105	15.857	0.052	15.368	0.031	9.26	1	47.68	5.06	1	37.94	11.16	1	1.66E+00	5.04E-01	1	2.55E+00	3.71E-01	1	1893.9	76.4	1	1249.6	87.2	1	611.1	47.1	639	361	160	12.7	9.4	7.6	42	34.5	25.2	62.5	79.6	39.1	-
134	70048	713	7482	4356	0	23	7	0.027	135.99	36.05	40	19.203	0.054	17.499	0.032	9.96	1	55.23	3.12	1	82.3	13.24	1	1.60E+00	2.89E-01	1	2.76E+00	2.74E-01	1	1359.8	87.6	1	597.3	60.8	1	211.7	32.8	430	242	109	11.8	7.1	5.5	34.5	28.2	20.8	79.7	53.4	24.7	-
135	42083	731	7488	4365	0	23	0	-99.99	78.57	78.57	0	16.188	0.052	15.018	0.035	11.48	1	94.12	5.57	1	38.78	10.67	0	7.03E-01	0.00E+00	0	4.34E-01	0.00E+00	0	449.8	0	0	329.5	0	0	195.2	0	538	303	134	21.7	16.1	13.1	87.6	71.7	52.1	119.8	81.6	36.7	-
136	42089	758	7492	4370	0	23	3	0.024	73.92	36.54	80	19.735	0.172	18.061	0.038	10.14	1	63.78	2.9	1	44.94	9.17	1	3.11E+00	1.98E-01	1	3.89E+00	2.20E-01	1	1946.6	53.3	1	771.7	37.5	1	250.5	18.8	233	132	59	16	7.2	4.4	25.7	20.9	15.5	43.8	30.3	9.7	-
137	70057	759	7493	4371	0	17	1	-99.99	122.4	122.4	0	17.864	0.073	16.369	0.032	10.58	1	47.5	2.52	1	18.09	0.1	0	2.14E+00	0.00E+00	0	2.03E+00	0.00E+00	0	940.4	0	0	484	0	0	313.7	0	1307	735	326	14.7	11.1	9	59.9	49.7	36.3	307.3	153.1	97.6	-
138	70058	763	7494	4374	0	17	0	-99.99	20	20	0	15.947	0.063	14.532	0.049	11.18	1	163.42	3.85	1	76.04	10.6	1	1.01E+00	7.40E-02	1	8.96E-01	6.70E-02	2	209.5	5.6	2	125.3	8.2	2	108.9	8.8	105	58	25	0	0	0	0	0	0	0	0	0	-
139	42093	787	7498	4376	0	23	12	0.023	77.28	44.94	135	15.54	0.056	15.261	0.03	9	1	37.99	6.43	0	0	44.15	1	1.80E+00	1.95E-01	1	2.08E+00	2.50E-01	1	1069.8	70.3	1	535.9	35	1	212.3	25.7	302	167	79	7.9	5.7	4.8	29.1	23.5	17.7	63.6	25.4	18.1	-
140	42092	785	7497	4378	0	17	3	-99.99	128.52	104.16	160	15.908	0.052	15.484	0.037	10.03	1	105.38	28.91	1	60.89	19.47	1	1.92E+00	5.34E-01	1	3.12E+00	8.33E-01	1	3034	228.3	1	1471.4	189.2	1	554.2	85.5	1169	657	290	14.3	10.6	8.5	56.9	46.6	33.9	220.7	183	78	-
141	70061	792	7503	4380	0	23	5	0.024	147.84	73.5	155	15.878	0.05	15.248	0.03	10.32	1	166.56	7.52	1	117.9	29.31	1	3.72E+00	3.91E-01	1	7.04E+00	4.98E-01	1	4868	162.7	1	2230.9	130.5	1	793.5	86.6	947	532	233	14.1	9.9	7.7	51.2	41.8	30.4	153.8	123.3	80.8	-
142	99044	801	7507	4383	0	17	3	0.024	109.2	54.18	20	14.474	0.05	14.199	0.03	9.42	1	428.68	7.33	1	949.59	28.47	1	1.27E+01	7.36E-01	1	1.17E+01	6.74E-01	3	4822	105.5	3	1960	60.8	3	659.1	36.7	517	284	130	17	9.5	6.9	37.8	30.6	22.7	97.1	51.7	28	*
143	42095	827	7513	0	0	23	8	0.026	156.59	43.97	155	16.137	0.05	15.663	0.03	9.6	1	197.76	11.74	1	169.05	18.07	1	5.80E+00	4.29E-01	1	8.48E+00	4.49E-01	1	4675.3	129.9	1	2323.6	80.8	1	952	37.2	605	339	150	17.3	10.7	7.1	40.9	33.2	24.4	122.1	72.9	27.3	-
144	70068	836	7520	4388	0	17	5	0.033	214.2	52.08	90	15.241	0.053	14.541	0.031	10.14	1	1065.7	17.01	1	2405.87	63.1	1	1.90E+01	1.03E+00	1	1.99E+01	1.19E+00	1	8570.1	314.2	1	3540.8	113.8	1	1287.2	79.2	982	542	243	31.2	15.1	9.1	51.8	42.7	31	308.3	104.4	72.3	-
